Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
BOOK CENTRE	441.00	862	0.0	1.0	4	81%	0	0	1
Atlantic Publishers and Distributors	664.00	14,537	223.0	1.5057	4.5	94%	0	0	0
Peacockbooks	719.00	2,800	278.0	1.6304	4.5	92%	0	0	0
JustBuyBooks	751.00	26	310.0	1.7029	3.5	69%	0	0	0
INFINITE BOOKS	943.09	282	502.09	2.1385	5	99%	0	0	0
B2A UK	1037.00	6,928	596.0	2.3515	4.5	83%	0	0	0
JustBuyBooks	1187.00	26	746.0	2.6916	3.5	69%	0	0	0
D R	1266.00	12,168	825.0	2.8707	4	82%	0	0	0
Fast Media 2	1732.64	6,005	1291.64	3.9289	4	72%	0	0	0
etohfa	13061.00	23	12620.0	29.6168	5	100%	0	0	0
Atlantic Publishers and Distributors	920.00	14,537	479.0	2.0862	4.5	94%	0	0	0
