Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
{PBD} POTDAR BOOK DISTRIBUTORS	2350.00	56	0.0	1.0	3.5	71%	0	0	0
Repro Books-On-Demand	2484.00	8,429	134.0	1.057	4.5	94%	1	0	1
SansRack	2484.00	1,050	134.0	1.057	4.5	94%	1	0	0
SAnSRack	2659.00	14	309.0	1.1315	4	79%	0	0	0
B2A UK	4311.00	6,928	1961.0	1.8345	4.5	83%	0	0	0
Atlantic Publishers and Distributors	4393.00	14,538	2043.0	1.8694	4.5	94%	0	0	0
Peacockbooks	4466.00	2,801	2116.0	1.9004	4.5	92%	0	0	0
SmartGlobal	5323.00	212	2973.0	2.2651	3	50%	0	0	0
Fast Media 2	5678.74	6,005	3328.74	2.4165	4	72%	0	0	0
D R	6855.00	12,168	4505.0	2.917	4	82%	0	0	0
SansRack	2484.00	1,050	134.0	1.057	4.5	94%	0	0	0
Peacockbooks	4477.00	2,801	2127.0	1.9051	4.5	92%	0	0	0
Atlantic Publishers and Distributors	5016.00	14,538	2666.0	2.1345	4.5	94%	0	0	0
