Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Patrika Book Centre	595.00	93	0.0	1.0	5	100%	0	0	0
SRBInternational	649.00	38	54.0	1.0908	4.5	92%	0	0	1
uRead-Store	666.00	25,151	71.0	1.1193	4.5	92%	1	0	0
Cloudtail India	808.00	1,299,286	213.0	1.358	4.5	92%	1	1	0
Global Book Store	840.00	623	245.0	1.4118	5	99%	0	0	0
ONS BOOKS	850.00	108	255.0	1.4286	5	97%	0	0	0
SmartenE	949.00	3	354.0	1.595	4.5	100%	0	0	0
JustBuyBooks	1246.00	26	651.0	2.0941	3.5	69%	0	0	0
SEGMENT BOOKS	1351.80	155	756.8	2.2719	3.5	64%	0	0	0
Bookswagon	1758.00	6,387	1163.0	2.9546	4	70%	0	0	0
SmartGlobal	1824.00	213	1229.0	3.0655	3	49%	0	0	0
Sunrise Book store	1753.00	1,359	1158.0	2.9462	3.5	61%	0	0	0
Bookswagon	1999.00	6,387	1404.0	3.3597	4	70%	0	0	0
Sunrise Book store	1915.00	1,359	1320.0	3.2185	3.5	61%	0	0	0
Bookswagon	2259.00	6,387	1664.0	3.7966	4	70%	0	0	0
Atlantic Publishers and Distributors	2327.00	14,540	1732.0	3.9109	4.5	94%	0	0	0
Sunrise Book store	2176.00	1,359	1581.0	3.6571	3.5	61%	0	0	0
