Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Think beyond limit	170.00	4	10.0	1.0625	3	50%	0	0	0
SH00NYA	168.00		8.0	1.05			0	0	0
CFM TRADERS	183.00	4	23.0	1.1438	3	50%	0	0	0
Universe book store	199.00		39.0	1.2437			0	0	0
PrathamVir Book Store	259.00	25	99.0	1.6187	3	52%	0	0	1
famous_Books	259.00	3	99.0	1.6187	5	100%	0	0	0
Vah trading	160.00	75	0.0	1.0	3.5	67%	0	0	0
Amor Book Center	199.00		39.0	1.2437			0	0	0
BOOKS TOWN	190.00		30.0	1.1875			0	0	0
trump tech	280.00	3	120.0	1.75	3.5	67%	0	0	0
Gunjan Enterprisea	199.00		39.0	1.2437			0	0	0
TWO BRO ENTERPRISES	270.00		110.0	1.6875			0	0	0
All India Books	280.00	124	120.0	1.75	3.5	58%	0	0	0
SRBOOKWORLD	375.00	404	215.0	2.3438	4.5	93%	0	0	0
RSONS	299.00	481	139.0	1.8687	4.5	84%	0	0	0
Rajiv Book House	320.00	371	160.0	2.0	4.5	93%	0	0	0
Cloudtail India	399.00	1,299,158	239.0	2.4937	4.5	92%	1	1	0
Universal Books House	555.00	1	395.0	3.4688	5	100%	0	0	0
Atlantic Publishers and Distributors	738.00	14,537	578.0	4.6125	4.5	94%	0	0	0
Bookswagon	841.00	6,375	681.0	5.2562	4	70%	0	0	0
Bookswagon	842.00	6,375	682.0	5.2625	4	70%	0	0	0
Peacockbooks	793.00	2,800	633.0	4.9562	4.5	92%	0	0	0
Sunrise Book store	818.00	1,356	658.0	5.1125	3.5	61%	0	0	0
Sunrise Book store	880.00	1,356	720.0	5.5	3.5	61%	0	0	0
B2A UK	1192.00	6,928	1032.0	7.45	4.5	83%	0	0	0
