Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Repro Books-On-Demand	267.00	8,433	7.0	1.0269	4.5	94%	1	0	1
Aryas Enterprises	260.00	30	0.0	1.0	3	50%	0	0	0
Trust Vision	295.00	7	35.0	1.1346	3.5	71%	0	0	0
Metropolitan Book Company	295.00	34	35.0	1.1346	4.5	85%	0	0	0
BPB PUBLICATIONS	297.00	112	37.0	1.1423	4.5	85%	0	0	0
