Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
PICK A BOOKS	299.00	165	0.0	1.0	4	78%	0	0	1
Gayatri kkd	499.00	4	200.0	1.6689	3.5	50%	0	0	0
PICK A BOOKS	524.00	165	225.0	1.7525	4	78%	0	0	1
DIGITAL PRESS	675.00	66	376.0	2.2575	3	58%	0	0	0
OM Sakthi Books	610.00	16	311.0	2.0401	4.5	100%	0	0	0
All India Book House	719.00	2,957	420.0	2.4047	4.5	93%	1	0	0
Cloudtail India	733.00	1,299,239	434.0	2.4515	4.5	92%	1	1	0
Simmra Book House	699.00	62	400.0	2.3378	4.5	84%	0	0	0
Mittal Books India	821.00	15,728	522.0	2.7458	4.5	95%	1	0	0
ALLBOOKS	795.00	6	496.0	2.6589	2.5	33%	0	0	0
uRead-Store	851.00	25,138	552.0	2.8462	4.5	92%	1	0	0
ReaderBooks	767.00	441	468.0	2.5652	4	72%	0	0	0
Inetrade India	816.80	3,254	517.8	2.7318	4	75%	0	0	0
Comma365	869.00	2,242	570.0	2.9064	4.5	95%	0	0	0
Rama BOOKS	780.36	6	481.36	2.6099	3.5	67%	0	0	0
O_Store	761.78	593	462.78	2.5478	4.5	87%	0	0	0
Sunrise Book store	775.00	1,358	476.0	2.592	3.5	61%	0	0	0
Shivank Books	770.00	79	471.0	2.5753	4	78%	0	0	0
MK BOOKS INDIA	929.00	2,247	630.0	3.107	2.5	34%	0	0	0
Darth Vader	824.00	61	525.0	2.7559	4	77%	0	0	0
BOOK CENTRE	847.00	862	548.0	2.8328	4	81%	0	0	0
Kushii Radiance Bookshop	837.00	63	538.0	2.7993	4.5	84%	0	0	0
V5MARK	842.00	8	543.0	2.8161	4	75%	0	0	0
KAVYA BOOKS	898.00	57	599.0	3.0033	4	86%	0	0	0
Books-a-zillion	899.00	89	600.0	3.0067	4	82%	0	0	0
SHIVAYA BOOKS	899.00	12	600.0	3.0067	2.5	33%	0	0	0
Booksmandi	929.00	2,531	630.0	3.107	4.5	89%	0	0	0
SAI BOOKS	890.00	181	591.0	2.9766	3	46%	0	0	0
CB-India	899.00	3,033	600.0	3.0067	4.5	95%	0	0	0
ALL INDIA BOOK STORE	999.00	9	700.0	3.3411	3.5	67%	0	0	0
Sunrise Book store	796.00	1,358	497.0	2.6622	3.5	61%	0	0	0
Sunrise Book store	844.00	1,358	545.0	2.8227	3.5	61%	0	0	0
Books-a-zillion	929.00	89	630.0	3.107	4	82%	0	0	0
SAI BOOKS	919.00	181	620.0	3.0736	3	46%	0	0	0
Ebookstore	1156.00	522	857.0	3.8662	4.5	85%	0	0	0
ASIAN TREASURES	1233.00	18	934.0	4.1237	4.5	94%	0	0	0
Speedy_Books	1408.00	490	1109.0	4.709	4.5	81%	0	0	0
Books-a-zillion	929.00	89	630.0	3.107	4	82%	0	0	0
SAI BOOKS	1194.00	181	895.0	3.9933	3	46%	0	0	0
