Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cloudtail India	194.00	1,299,306	0.0	1.0	4.5	92%	1	1	1
uRead-Store	194.00	25,154	0.0	1.0	4.5	92%	1	0	0
Amazing_Buy	197.00	17,789	3.0	1.0155	4.5	95%	1	0	0
famous_Books	259.00	4	65.0	1.3351	4.5	75%	0	0	0
Inetrade India	195.66	3,256	1.66	1.0086	4	75%	0	0	0
Goodread Bookstore	221.00	579	27.0	1.1392	5	97%	0	0	0
O_Store	221.26	593	27.26	1.1405	4.5	87%	0	0	0
ABC books International	229.00	26	35.0	1.1804	4	73%	0	0	0
Maitry book Agency	202.00	139	8.0	1.0412	3.5	68%	0	0	0
BSK Book	289.00	160	95.0	1.4897	3.5	60%	0	0	0
BOOKKR	278.00	5	84.0	1.433	3.5	60%	0	0	0
The Bookhive	239.20	43	45.2	1.233	4	80%	0	0	0
Darth Vader	242.00	61	48.0	1.2474	4	77%	0	0	0
S R int Store	227.24		33.24	1.1713			0	0	0
Suryan Books	239.00	39	45.0	1.232	4.5	95%	0	0	0
GBD BOOKS	239.00	232	45.0	1.232	4	68%	0	0	0
trump tech	320.00	3	126.0	1.6495	3.5	67%	0	0	0
SBM Enterprises	230.23	48	36.23	1.1868	4	75%	0	0	0
RSONS	249.00	481	55.0	1.2835	4.5	84%	0	0	0
Sunrise Book store	250.00	1,360	56.0	1.2887	3.5	61%	0	0	0
CrossWord Books	276.00	116	82.0	1.4227	5	95%	0	0	0
Abhinav Books Store	275.00	60	81.0	1.4175	3	53%	0	0	0
Booknow	233.00	898	39.0	1.201	4	80%	0	0	0
BooksRaja	244.00	171	50.0	1.2577	4.5	85%	0	0	0
CNA Bookstore	245.00	477	51.0	1.2629	4.5	95%	0	0	0
S B T books	277.00	113	83.0	1.4278	4.5	88%	0	0	0
W S Retaill	276.00	34	82.0	1.4227	3.5	68%	0	0	0
Okhla Book Distributor	212.00	60	18.0	1.0928	4.5	95%	0	0	0
GBD Publishers	254.00	47	60.0	1.3093	4	79%	0	0	0
Book store01	329.00	14	135.0	1.6959	3.5	57%	0	0	0
BSK Book	289.00	160	95.0	1.4897	3.5	60%	0	0	0
BOOKKR	299.00	5	105.0	1.5412	3.5	60%	0	0	0
W S Retaill	278.00	34	84.0	1.433	3.5	68%	0	0	0
Books-a-zillion	269.10	89	75.1	1.3871	4	82%	0	0	0
A to Z Book House	299.00	1,276	105.0	1.5412	3	44%	0	0	0
Booksmandi	299.00	2,531	105.0	1.5412	4.5	89%	0	0	0
Ginni Books	381.00	9	187.0	1.9639	4.5	89%	0	0	0
Ambe Books	381.10	2	187.1	1.9644	3	50%	0	0	0
SAI BOOKS	296.00	181	102.0	1.5258	3	46%	0	0	0
Bookswagon	711.00	6,386	517.0	3.6649	4	70%	0	0	0
CrossWord Books	299.00	116	105.0	1.5412	5	95%	0	0	0
Books-a-zillion	299.00	89	105.0	1.5412	4	82%	0	0	0
SAI BOOKS	299.00	181	105.0	1.5412	3	46%	0	0	0
Sunrise Book store	739.00	1,360	545.0	3.8093	3.5	61%	0	0	0
Sunrise Book store	680.00	1,360	486.0	3.5052	3.5	61%	0	0	0
