Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cloudtail India	399.00	1,299,225	49.0	1.14	4.5	92%	1	1	1
uRead-Store	488.00	25,135	138.0	1.3943	4.5	92%	1	0	0
Rajkesar books hub	350.00	10	0.0	1.0	3	50%	0	0	0
O_Store	409.18	593	59.18	1.1691	4.5	87%	0	0	0
Darth Vader	449.00	61	99.0	1.2829	4	77%	0	0	0
Rama BOOKS	419.16	6	69.16	1.1976	3.5	67%	0	0	0
Comma365	493.00	2,242	143.0	1.4086	4.5	95%	0	0	0
Kushii Radiance Bookshop	450.00	63	100.0	1.2857	4.5	84%	0	0	0
BooksRaja	452.00	171	102.0	1.2914	4.5	85%	0	0	0
Sunrise Book store	446.00	1,358	96.0	1.2743	3.5	61%	0	0	0
Booksmandi	475.00	2,531	125.0	1.3571	4.5	89%	0	0	0
V5MARK	471.00	8	121.0	1.3457	4	75%	0	0	0
Technical Book	399.00	53	49.0	1.14	3.5	62%	0	0	0
Manila Books Services	499.00	13	149.0	1.4257	4.5	92%	0	0	0
Books-a-zillion	499.00	89	149.0	1.4257	4	82%	0	0	0
The Grand_Store	560.00	10	210.0	1.6	3	50%	0	0	0
radhika A communication	474.00	29	124.0	1.3543	4	78%	0	0	0
SAI BOOKS	494.00	181	144.0	1.4114	3	46%	0	0	0
Speedy_Books	740.00	490	390.0	2.1143	4.5	81%	0	0	0
Book eHub	853.00	32	503.0	2.4371	4	74%	0	0	0
Sunrise Book store	446.00	1,358	96.0	1.2743	3.5	61%	0	0	0
Books-a-zillion	499.00	89	149.0	1.4257	4	82%	0	0	0
Ebookstore	958.00	522	608.0	2.7371	4.5	85%	0	0	0
ASIAN TREASURES	1035.00	18	685.0	2.9571	4.5	94%	0	0	0
