Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Atlantic Publishers and Distributors	2917.00	14,537	0.0	1.0	4.5	94%	0	0	0
INFINITE BOOKS	2957.04	282	40.04	1.0137	5	99%	0	0	1
Bookswagon	3003.00	6,375	86.0	1.0295	4	70%	0	0	0
B2A UK	3105.00	6,928	188.0	1.0644	4.5	83%	0	0	0
Atlantic Publishers and Distributors	3131.00	14,537	214.0	1.0734	4.5	94%	0	0	0
Peacockbooks	3205.00	2,800	288.0	1.0987	4.5	92%	0	0	0
Bookswagon	3322.00	6,375	405.0	1.1388	4	70%	0	0	0
Sunrise Book store	3243.00	1,356	326.0	1.1118	3.5	61%	0	0	0
Fast Media 2	3991.65	6,005	1074.65	1.3684	4	72%	0	0	0
A STAR BOOK	9427.00	5	6510.0	3.2317	5	100%	0	0	0
Bookswagon	3389.00	6,375	472.0	1.1618	4	70%	0	0	0
Sunrise Book store	3666.00	1,356	749.0	1.2568	3.5	61%	0	0	0
