Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Bippen Sales	160.00	1	0.0	1.0	4	100%	0	0	0
World500	168.00	3,299	8.0	1.05	4	76%	0	0	0
Astha Prakashan	200.00	870	40.0	1.25	3.5	63%	0	0	1
Bookflow	225.00	3,100	65.0	1.4062	3.5	68%	0	0	0
ApnaBazzar	245.00	50	85.0	1.5312	3.5	62%	0	0	0
SRBInternational	250.00	38	90.0	1.5625	4.5	92%	0	0	0
BSK Book	240.00	160	80.0	1.5	3.5	60%	0	0	0
ABRB	220.00	60	60.0	1.375	4	82%	0	0	0
BOOKS MASTER	223.00	22	63.0	1.3938	4	77%	0	0	0
GBD BOOKS	200.00	232	40.0	1.25	4	68%	0	0	0
CrossWord Books	230.00	116	70.0	1.4375	5	95%	0	0	0
RSONS	208.00	481	48.0	1.3	4.5	84%	0	0	0
Sunrise Book store	216.00	1,360	56.0	1.35	3.5	61%	0	0	0
Skycart	225.00	479	65.0	1.4062	4.5	90%	0	0	0
HINDI KITAB	227.00	12	67.0	1.4187	3.5	58%	0	0	0
S J Books	238.00	1	78.0	1.4875	5	100%	0	0	0
The Grand_Store	270.00	10	110.0	1.6875	3	50%	0	0	0
BOOKKR	280.00	5	120.0	1.75	3.5	60%	0	0	0
Books-a-zillion	225.00	89	65.0	1.4062	4	82%	0	0	0
fairdealenterprise	187.50	45	27.5	1.1719	2	25%	0	0	0
Astha Prakashan	224.00	870	64.0	1.4	3.5	63%	0	0	1
CrossWord Books	230.00	116	70.0	1.4375	5	95%	0	0	0
BOOKKR	280.00	5	120.0	1.75	3.5	60%	0	0	0
sarkariresultall	320.00	164	160.0	2.0	2.5	39%	0	0	0
SAI BOOKS	250.00	181	90.0	1.5625	3	46%	0	0	0
