Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cloudtail India	678.00	1,299,286	0.0	1.0	4.5	92%	1	1	1
Mittal Books India	830.00	15,729	152.0	1.2242	4.5	95%	1	0	0
uRead-Store	834.00	25,151	156.0	1.2301	4.5	92%	1	0	0
Inetrade India	801.54	3,255	123.54	1.1822	4	75%	0	0	0
Sunrise Book store	780.00	1,359	102.0	1.1504	3.5	61%	0	0	0
V5MARK	825.00	8	147.0	1.2168	4	75%	0	0	0
BOOK CENTRE	898.00	862	220.0	1.3245	4	81%	0	0	0
BooksRaja	838.00	171	160.0	1.236	4.5	85%	0	0	0
Manila Books Services	909.00	13	231.0	1.3407	4.5	92%	0	0	0
Books-a-zillion	909.00	89	231.0	1.3407	4	82%	0	0	0
SAI BOOKS	899.00	181	221.0	1.326	3	46%	0	0	0
The Grand_Store	910.00	10	232.0	1.3422	3	50%	0	0	0
Ebookstore	1138.00	522	460.0	1.6785	4.5	85%	0	0	0
Book eHub	1192.00	32	514.0	1.7581	4	72%	0	0	0
ASIAN TREASURES	1215.00	18	537.0	1.792	4.5	94%	0	0	0
Speedy_Books	1359.00	490	681.0	2.0044	4.5	81%	0	0	0
