Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Rachna Associate	279.00		0.0	1.0			0	0	0
uRead-Store	380.00	25,127	101.0	1.362	4.5	92%	1	0	1
Trans Infopreneur Inc	380.00	217	101.0	1.362	4.5	94%	1	0	0
Amazing_Buy	380.00	17,781	101.0	1.362	4.5	95%	1	0	0
Inetrade India	326.48	3,249	47.48	1.1702	4	75%	0	0	0
R-our Book	370.00	1,304	91.0	1.3262	4	78%	0	0	0
MK BOOKS INDIA	424.00	2,245	145.0	1.5197	2.5	34%	0	0	0
RSONS	369.00	481	90.0	1.3226	4.5	84%	0	0	0
MONOBO BOOKS	364.00	117	85.0	1.3047	4.5	86%	0	0	0
HERITAGE PUBLISHERS	469.00	783	190.0	1.681	4.5	94%	0	0	0
Suryan Books	399.00	39	120.0	1.4301	4.5	95%	0	0	0
GBD BOOKS	399.00	232	120.0	1.4301	4	68%	0	0	0
Winmaarc	485.00	118	206.0	1.7384	3.5	68%	0	0	0
BSK Book	489.00	159	210.0	1.7527	3.5	60%	0	0	0
ScribbleGraffito	409.18	29	130.18	1.4666	4.5	91%	0	0	0
HHH Books Shop	498.00	47	219.0	1.7849	3.5	62%	0	0	0
Book store01	469.00	11	190.0	1.681	3	45%	0	0	0
BOOKKR	464.00	5	185.0	1.6631	3.5	60%	0	0	0
Resource book store	424.00	1	145.0	1.5197	5	100%	0	0	0
Wish Your Book	424.15		145.15	1.5203			0	0	0
Abhinav Books Store	439.12	60	160.12	1.5739	3	54%	0	0	0
BookAdda	459.00	365	180.0	1.6452	3	47%	0	0	0
CrossWord Books	499.00	116	220.0	1.7885	5	95%	0	0	0
S B T books	462.00	113	183.0	1.6559	4.5	88%	0	0	0
W S Retaill	461.00	34	182.0	1.6523	3.5	69%	0	0	0
NS DISTRIBUTOR	499.00	7	220.0	1.7885	4	86%	0	0	0
Books-a-zillion	449.10	89	170.1	1.6097	4	82%	0	0	0
A to Z Book House	499.00	1,275	220.0	1.7885	3	46%	0	0	0
Ambe Books	533.38	2	254.38	1.9118	3	50%	0	0	0
Ginni Books	533.48	9	254.48	1.9121	4.5	89%	0	0	0
SAI BOOKS	494.00	181	215.0	1.7706	3	46%	0	0	0
JustBuyBooks	786.00	26	507.0	2.8172	3.5	69%	0	0	0
Atlantic Publishers and Distributors	810.00	14,537	531.0	2.9032	4.5	94%	0	0	0
Bookswagon	919.00	6,375	640.0	3.2939	4	70%	0	0	0
Peacockbooks	865.00	2,800	586.0	3.1004	4.5	92%	0	0	0
JustBuyBooks	955.00	26	676.0	3.4229	3.5	69%	0	0	0
Sunrise Book store	898.00	1,356	619.0	3.2186	3.5	61%	0	0	0
INFINITE BOOKS	1288.50	282	1009.5	4.6183	5	99%	0	0	0
B2A UK	1329.00	6,928	1050.0	4.7634	4.5	83%	0	0	0
Fast Media 2	1412.09	6,005	1133.09	5.0613	4	72%	0	0	0
Trans Infopreneur Inc	381.00	217	102.0	1.3656	4.5	94%	0	0	0
Abhinav Books Store	449.10	60	170.1	1.6097	3	54%	0	0	0
BOOKKR	499.00	5	220.0	1.7885	3.5	60%	0	0	0
S B T books	462.00	113	183.0	1.6559	4.5	88%	0	0	0
W S Retaill	464.00	34	185.0	1.6631	3.5	69%	0	0	0
Rachna Associate	499.00		220.0	1.7885			0	0	0
Atlantic Publishers and Distributors	1237.00	14,537	958.0	4.4337	4.5	94%	0	0	0
JustBuyBooks	1262.00	26	983.0	4.5233	3.5	69%	0	0	0
Bookswagon	1293.00	6,375	1014.0	4.6344	4	70%	0	0	0
G G	2103.00	4,505	1824.0	7.5376	4.5	87%	0	0	0
Bookswagon	1293.00	6,375	1014.0	4.6344	4	70%	0	0	0
Sunrise Book store	1265.00	1,356	986.0	4.5341	3.5	61%	0	0	0
