Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
World500	535.00	3,248	0.0	1.0	4	76%	0	0	0
Buy Amazing Books	559.00	3,536	24.0	1.0449	3	51%	0	0	0
MK BOOKS INDIA	679.00	2,246	144.0	1.2692	2.5	34%	0	0	0
Inetrade India	613.93	3,250	78.93	1.1475	4	75%	0	0	0
Book Selection Centre	599.00	136	64.0	1.1196	4.5	96%	0	0	0
Goodread Bookstore	703.00	579	168.0	1.314	5	97%	1	0	1
ReadAhead	719.00	213	184.0	1.3439	4	79%	0	0	0
Bookflow	719.10	3,100	184.1	1.3441	3.5	67%	0	0	0
ScribbleGraffito	663.17	29	128.17	1.2396	4.5	91%	0	0	0
BSK Book	749.00	159	214.0	1.4	3.5	60%	0	0	0
Bookflow	719.10	3,100	184.1	1.3441	3.5	67%	0	0	0
Santusti Enterprises	799.00	26	264.0	1.4935	4	81%	0	0	0
Book store01	789.00	11	254.0	1.4748	3	45%	0	0	0
DARPAN	799.00	33	264.0	1.4935	4.5	85%	0	0	0
Kushii Radiance Bookshop	760.00	63	225.0	1.4206	4.5	84%	0	0	0
A to Z Book House	799.00	1,275	264.0	1.4935	3	46%	0	0	0
Booksmandi	799.00	2,530	264.0	1.4935	4.5	89%	0	0	0
Bookswagon	1606.00	6,375	1071.0	3.0019	4	70%	0	0	0
B2A UK	1704.00	6,928	1169.0	3.185	4.5	83%	0	0	0
Sunrise Book store	1554.00	1,356	1019.0	2.9047	3.5	61%	0	0	0
Sunrise Book store	1652.00	1,356	1117.0	3.0879	3.5	61%	0	0	0
