Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
World500	401.00	3,269	42.0	1.117	4	76%	0	0	0
PUSTAKALAY	415.00	20	56.0	1.156	4.5	85%	1	0	1
Everydaybookcentre	415.00	3	56.0	1.156	5	100%	0	0	0
Buy Amazing Books	419.00	3,557	60.0	1.1671	3	51%	0	0	0
FOUNTAINHEAD	359.00	98	0.0	1.0	4.5	91%	0	0	0
ReadAhead	449.00	213	90.0	1.2507	4	79%	0	0	0
O_Store	374.25	593	15.25	1.0425	4.5	87%	0	0	0
Goodread Bookstore	459.00	579	100.0	1.2786	5	97%	1	0	0
Inetrade India	391.89	3,254	32.89	1.0916	4	75%	0	0	0
Booknow	389.00	898	30.0	1.0836	4	80%	0	0	0
AskTech Books	451.00	2	92.0	1.2563	2.5	50%	0	0	0
MK BOOKS INDIA	509.00	2,248	150.0	1.4178	2.5	34%	0	0	0
Sri Ganesha Books	431.00	382	72.0	1.2006	4	82%	0	0	0
A Mind's Bookstore	437.00	1,409	78.0	1.2173	4.5	89%	0	0	0
SBM Enterprises	443.26	48	84.26	1.2347	4	75%	0	0	0
Bookflow	539.10	3,100	180.1	1.5017	3.5	68%	0	0	0
DARPAN	499.00	33	140.0	1.39	4.5	85%	0	0	0
The Bookhive	479.20	43	120.2	1.3348	4	80%	0	0	0
HERITAGE PUBLISHERS	569.00	783	210.0	1.585	4.5	94%	0	0	0
Skycart	500.00	479	141.0	1.3928	4.5	90%	0	0	0
Suraj Trading - Express Delivery	487.00	48	128.0	1.3565	3	53%	0	0	0
BSK Book	564.00	160	205.0	1.571	3.5	61%	0	0	0
CrossWord Books	551.00	116	192.0	1.5348	5	95%	0	0	0
Book store01	579.00	14	220.0	1.6128	3.5	57%	0	0	0
BookInc	540.00	17	181.0	1.5042	4.5	94%	0	0	0
BOOKKR	599.00	5	240.0	1.6685	3.5	60%	0	0	0
Browsers' Lounge	576.00	122	217.0	1.6045	4.5	96%	0	0	0
Kushii Radiance Bookshop	570.00	63	211.0	1.5877	4.5	84%	0	0	0
S B T books	557.00	113	198.0	1.5515	4.5	88%	0	0	0
W S Retaill	553.00	34	194.0	1.5404	3.5	68%	0	0	0
A to Z Book House	599.00	1,275	240.0	1.6685	3	46%	0	0	0
Bookswagon	708.00	6,387	349.0	1.9721	4	70%	0	0	0
dealstar	718.00	6,600	359.0	2.0	4.5	85%	0	0	0
Ginni Books	619.55	9	260.55	1.7258	4.5	89%	0	0	0
SAI BOOKS	593.00	181	234.0	1.6518	3	46%	0	0	0
Sunrise Book store	703.00	1,359	344.0	1.9582	3.5	61%	0	0	0
D R	2269.00	12,169	1910.0	6.3203	4	82%	0	0	0
