Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
uRead-Store	374.00	25,133	0.0	1.0	4.5	92%	1	0	0
Cloudtail India	374.00	1,299,183	0.0	1.0	4.5	92%	1	1	1
World500	401.00	3,255	27.0	1.0722	4	76%	0	0	0
ApnaBazzar	410.00	49	36.0	1.0963	3.5	63%	0	0	0
Buy Amazing Books	419.00	3,547	45.0	1.1203	3	51%	0	0	0
Amazing_Buy	458.00	17,785	84.0	1.2246	4.5	95%	1	0	0
Crossword Bookstores Ltd	480.00	2,475	106.0	1.2834	4	74%	0	0	0
Essay Shopping Malls	490.00	52	116.0	1.3102	4	75%	0	0	0
R-our Book	449.00	1,304	75.0	1.2005	4	78%	0	0	0
MK BOOKS INDIA	509.00	2,247	135.0	1.361	2.5	34%	0	0	0
Bookflow	521.13	3,100	147.13	1.3934	3.5	67%	0	0	0
AskTech Books	451.00	2	77.0	1.2059	2.5	50%	0	0	0
Royal500	531.00	878	157.0	1.4198	4.5	92%	0	0	0
Inetrade India	456.07	3,252	82.07	1.2194	4	75%	0	0	0
Sri Ganesha Books	431.00	382	57.0	1.1524	4	82%	0	0	0
RSONS	443.00	481	69.0	1.1845	4.5	84%	0	0	0
FOUNTAINHEAD	431.00	98	57.0	1.1524	4.5	91%	0	0	0
Randomindia	461.00	9	87.0	1.2326	3.5	67%	0	0	0
SBM Enterprises	443.26	48	69.26	1.1852	4	75%	0	0	0
R K Books	479.00	1,597	105.0	1.2807	3.5	69%	0	0	0
Comma365	505.00	2,242	131.0	1.3503	4.5	95%	0	0	0
A Mind's Bookstore	437.00	1,409	63.0	1.1684	4.5	89%	0	0	0
MONOBO BOOKS	437.00	117	63.0	1.1684	4.5	86%	0	0	0
The Bookhive	479.20	43	105.2	1.2813	4	80%	0	0	0
S B T books	554.00	113	180.0	1.4813	4.5	88%	0	0	0
W S Retaill	553.00	34	179.0	1.4786	3.5	69%	0	0	0
DSR Book Distributors	472.00	21	98.0	1.262	4.5	85%	0	0	0
HERITAGE PUBLISHERS	563.00	783	189.0	1.5053	4.5	94%	0	0	0
BSK Book	564.00	159	190.0	1.508	3.5	60%	0	0	0
ScribbleGraffito	491.18	29	117.18	1.3133	4.5	91%	0	0	0
Booknow	467.00	898	93.0	1.2487	4	80%	0	0	0
Skycart	500.00	479	126.0	1.3369	4.5	90%	0	0	0
BooksRaja	453.00	171	79.0	1.2112	4.5	85%	0	0	0
Suryan Books	479.00	39	105.0	1.2807	4.5	95%	0	0	0
lollypop	518.00	2	144.0	1.385	5	100%	0	0	0
Suraj Trading - Express Delivery	487.00	48	113.0	1.3021	3	53%	0	0	0
MegaOnlineDeals	487.00	187	113.0	1.3021	4	79%	0	0	0
Wish Your Book	509.15		135.15	1.3614			0	0	0
Book Selection Centre	500.00	136	126.0	1.3369	4.5	96%	0	0	0
V5MARK	466.00	8	92.0	1.246	4	75%	0	0	0
Buy24*7	599.00	19	225.0	1.6016	4.5	89%	0	0	0
CrossWord Books	551.00	116	177.0	1.4733	5	95%	0	0	0
Resource book store	509.00	1	135.0	1.361	5	100%	0	0	0
Booksmandi	480.00	2,531	106.0	1.2834	4.5	89%	0	0	0
Sunrise Book store	492.00	1,356	118.0	1.3155	3.5	61%	0	0	0
BookInc	540.00	17	166.0	1.4439	4.5	94%	0	0	0
O_Store	461.23	593	87.23	1.2332	4.5	87%	0	0	0
DilliDukan	537.00	5	163.0	1.4358	5	100%	0	0	0
Book store01	589.00	11	215.0	1.5749	3	45%	0	0	0
Starmark	539.10	2,139	165.1	1.4414	3.5	68%	0	0	0
Abhinav Books Store	527.12	60	153.12	1.4094	3	54%	0	0	0
The Grand_Store	530.00	10	156.0	1.4171	3	50%	0	0	0
Winmaarc	630.00	118	256.0	1.6845	3.5	68%	0	0	0
Darth Vader	544.00	61	170.0	1.4545	4	77%	0	0	0
BOOKKR	599.00	5	225.0	1.6016	3.5	60%	0	0	0
MEETA BOOKS	539.00	47	165.0	1.4412	2.5	36%	0	0	0
Books-a-zillion	539.10	89	165.1	1.4414	4	82%	0	0	0
BW ENTERPRISES	462.00	44	88.0	1.2353	4	79%	0	0	0
NS DISTRIBUTOR	553.00	7	179.0	1.4786	4	86%	0	0	0
SansRack	599.00	1,050	225.0	1.6016	4.5	94%	0	0	0
Bookflow	539.10	3,100	165.1	1.4414	3.5	67%	0	0	0
The Bookhive	479.20	43	105.2	1.2813	4	80%	0	0	0
Browsers' Lounge	576.00	122	202.0	1.5401	4.5	96%	0	0	0
Kushii Radiance Bookshop	570.00	63	196.0	1.5241	4.5	84%	0	0	0
A to Z Book House	599.00	1,275	225.0	1.6016	3	46%	0	0	0
Ambe Books	652.65	2	278.65	1.7451	3	50%	0	0	0
Ginni Books	652.75	9	278.75	1.7453	4.5	89%	0	0	0
Maitry book Agency	599.00	139	225.0	1.6016	3.5	68%	0	0	0
PKS RETAIL	788.00	4	414.0	2.107	5	100%	0	0	0
SAI BOOKS	593.00	181	219.0	1.5856	3	46%	0	0	0
S B T books	554.00	113	180.0	1.4813	4.5	88%	0	0	0
W S Retaill	554.00	34	180.0	1.4813	3.5	69%	0	0	0
HERITAGE PUBLISHERS	569.00	783	195.0	1.5214	4.5	94%	0	0	0
CrossWord Books	557.00	116	183.0	1.4893	5	95%	0	0	0
Abhinav Books Store	539.10	60	165.1	1.4414	3	54%	0	0	0
BOOKKR	599.00	5	225.0	1.6016	3.5	60%	0	0	0
