Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
uRead-Store	229.00	25,138	79.0	1.5267	4.5	92%	1	0	1
Piccadilly Book Stall	150.00	137	0.0	1.0	3.5	63%	0	0	0
Inetrade India	167.10	3,253	17.1	1.114	4	75%	0	0	0
MK BOOKS INDIA	275.00	2,247	125.0	1.8333	2.5	34%	0	0	0
Book Selection Centre	220.00	136	70.0	1.4667	4.5	96%	0	0	0
HSS TRADERS	225.00	43	75.0	1.5	4	73%	0	0	0
Suryan Books	248.00	39	98.0	1.6533	4.5	95%	0	0	0
skypee	256.00	195	106.0	1.7067	4	74%	0	0	0
Seattle Store	220.00	82	70.0	1.4667	5	100%	0	0	0
V5MARK	236.00	8	86.0	1.5733	4	75%	0	0	0
NAMARA BOOKS	256.00	41	106.0	1.7067	2	18%	0	0	0
Books Tutorial	278.00	70	128.0	1.8533	4	73%	0	0	0
Books-a-zillion	275.00	89	125.0	1.8333	4	82%	0	0	0
etohfa	2802.00	23	2652.0	18.68	5	100%	0	0	0
