Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
BOOKS PLAZA	300.00	159	0.0	1.0	4	72%	0	0	0
uRead-Store	393.00	25,141	93.0	1.31	4.5	92%	1	0	1
Amazing_Buy	393.00	17,789	93.0	1.31	4.5	95%	1	0	0
Read factor	395.00	1,531	95.0	1.3167	3.5	67%	0	0	0
World500	401.00	3,269	101.0	1.3367	4	76%	0	0	0
AskTech Books	451.00	2	151.0	1.5033	2.5	50%	0	0	0
Inetrade India	456.07	3,254	156.07	1.5202	4	75%	0	0	0
Goodread Bookstore	539.00	579	239.0	1.7967	5	97%	1	0	0
ReadAhead	539.00	213	239.0	1.7967	4	79%	0	0	0
MK BOOKS INDIA	599.00	2,248	299.0	1.9967	2.5	34%	0	0	0
Books For All	589.00	314	289.0	1.9633	4	81%	0	0	0
B2A UK	1373.00	6,928	1073.0	4.5767	4.5	83%	0	0	0
