Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Amazing_Buy	338.00	17,789	0.0	1.0	4.5	95%	1	0	1
uRead-Store	338.00	25,145	0.0	1.0	4.5	92%	1	0	0
Nanda Book Service	339.00	2,335	1.0	1.003	3.5	55%	0	0	0
Nanda Book Service	350.00	2,335	12.0	1.0355	3.5	55%	0	0	0
Inetrade India	370.08	3,254	32.08	1.0949	4	75%	0	0	0
Goodread Bookstore	459.00	579	121.0	1.358	5	97%	1	0	0
Skycart	409.00	479	71.0	1.2101	4.5	90%	0	0	0
MK BOOKS INDIA	499.00	2,248	161.0	1.4763	2.5	34%	0	0	0
Bookswagon	861.00	6,387	523.0	2.5473	4	70%	0	0	0
Sunrise Book store	889.00	1,359	551.0	2.6302	3.5	61%	0	0	0
Nanda Book Service	759.05	2,335	421.05	2.2457	3.5	55%	0	0	0
Bookswagon	861.00	6,387	523.0	2.5473	4	70%	0	0	0
Sunrise Book store	773.00	1,359	435.0	2.287	3.5	61%	0	0	0
Sunrise Book store	803.00	1,359	465.0	2.3757	3.5	61%	0	0	0
