Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
ONS BOOKS	389.00	108	0.0	1.0	5	97%	0	0	0
Bargain Book	599.00	265	210.0	1.5398	4.5	98%	0	0	1
ABC Book Shop	625.00	982	236.0	1.6067	4	77%	0	0	0
GBD BOOKS	674.00	232	285.0	1.7326	4	68%	0	0	0
GBD Publishers	719.00	47	330.0	1.8483	4	79%	0	0	0
RSONS	747.00	481	358.0	1.9203	4.5	84%	0	0	0
MK BOOKS INDIA	899.00	2,247	510.0	2.3111	2.5	34%	0	0	0
amazingbuy_	899.00	1	510.0	2.3111	5	100%	0	0	0
SAI BOOKS	899.00	181	510.0	2.3111	3	46%	0	0	0
Bookswagon	1646.00	6,382	1257.0	4.2314	4	70%	0	0	0
Atlantic Publishers and Distributors	1622.00	14,538	1233.0	4.1697	4.5	94%	0	0	0
Peacockbooks	1696.00	2,801	1307.0	4.3599	4.5	92%	0	0	0
Sunrise Book store	1641.00	1,358	1252.0	4.2185	3.5	61%	0	0	0
Bookswagon	1851.00	6,382	1462.0	4.7584	4	70%	0	0	0
Atlantic Publishers and Distributors	1875.00	14,538	1486.0	4.8201	4.5	94%	0	0	0
Sunrise Book store	1749.00	1,358	1360.0	4.4961	3.5	61%	0	0	0
Bookswagon	1899.00	6,382	1510.0	4.8817	4	70%	0	0	0
Fast Media 2	1966.30	6,005	1577.3	5.0548	4	72%	0	0	0
