Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cloudtail India	150.00	1,299,276	48.31	1.4751	4.5	92%	1	1	1
Angoor Prakashann	160.00	52	58.31	1.5734	4	80%	0	0	0
Inetrade India	101.69	3,254	0.0	1.0	4	75%	0	0	0
A - Z Books Online	123.00	104	21.31	1.2096	4.5	93%	0	0	0
Prism Books Pvt Ltd	149.00	1,014	47.31	1.4652	4.5	83%	0	0	0
Wisdom Tree Direct	155.00	38	53.31	1.5242	4.5	92%	0	0	0
SUDHA BOOKS	116.00	123	14.31	1.1407	4.5	85%	0	0	0
Starmark	157.50	2,139	55.81	1.5488	3.5	68%	0	0	0
Balaji World of Books	158.00	14	56.31	1.5537	4.5	93%	0	0	0
Skycart	164.00	479	62.31	1.6127	4.5	90%	0	0	0
Booknow	137.00	898	35.31	1.3472	4	80%	0	0	0
Piccadilly Book Stall	175.00	137	73.31	1.7209	3.5	63%	0	0	0
srkbooks	185.00	69	83.31	1.8193	4	71%	0	0	0
A to Z Book House	175.00	1,275	73.31	1.7209	3	46%	0	0	0
NEWLIGHT BOOK HOUSE	175.00	135	73.31	1.7209	3.5	67%	0	0	0
Booksmandi	175.00	2,531	73.31	1.7209	4.5	89%	0	0	0
Books-a-zillion	175.00	89	73.31	1.7209	4	82%	0	0	0
Santosh Book Enterprises	200.00	41	98.31	1.9668	4	73%	0	0	0
Ginni Books	254.30	9	152.61	2.5007	4.5	89%	0	0	0
