Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
J B Books Sellers & Distributors	167.00	770	0.0	1.0	4	82%	0	0	0
Asian booksellers	250.00	24	83.0	1.497	4	74%	0	0	0
HBZ OLD AND NEW ONLINE	359.00	8	192.0	2.1497	3.5	63%	0	0	0
Siddi Vinayaka	300.00	5	133.0	1.7964	4	60%	0	0	0
Kite Book Shop	350.00	1	183.0	2.0958	1	0%	0	0	0
PK Textbooks	405.00	31	238.0	2.4251	3.5	61%	0	0	0
STUDENT BOOK STALL VVNAGAR	390.00	96	223.0	2.3353	3.5	67%	0	0	0
Jawahar Book Centre	515.00	3,140	348.0	3.0838	4	76%	0	0	0
siddharth books	500.00	51	333.0	2.994	2.5	36%	0	0	0
Cloudtail India	592.00	1,299,192	425.0	3.5449	4.5	92%	1	1	1
Payal Books	499.00	657	332.0	2.988	3	51%	0	0	0
JBCPD	725.00	32,618	558.0	4.3413	4.5	93%	1	0	0
All India Book House	725.00	2,957	558.0	4.3413	4.5	93%	1	0	0
CAMPUS BOOK HOUSE INDIAN INTITUTE OF SCIENCE TBH	700.00	218	533.0	4.1916	5	97%	0	0	0
RFCB	780.00	8	613.0	4.6707	4.5	88%	0	0	0
New Book Links	714.00	59	547.0	4.2754	4	73%	0	0	0
MK BOOKS INDIA	810.00	2,247	643.0	4.8503	2.5	34%	0	0	0
Bookwuk	645.00	13	478.0	3.8623	3	54%	0	0	0
uRead-Store	822.00	25,134	655.0	4.9222	4.5	92%	1	0	0
Sunrise Book store	700.00	1,357	533.0	4.1916	3.5	61%	0	0	0
Rama BOOKS	680.40	6	513.4	4.0743	3.5	67%	0	0	0
chandbookdepot	759.00		592.0	4.5449			0	0	0
Kushii Radiance Bookshop	729.00	63	562.0	4.3653	4.5	84%	0	0	0
BooksRaja	731.00	171	564.0	4.3772	4.5	85%	0	0	0
MANJU INTERNATIONAL	810.00	86	643.0	4.8503	4	79%	0	0	0
NBA BOOKS	895.00	23	728.0	5.3593	4	70%	0	0	0
Manila Books Services	810.00	13	643.0	4.8503	4.5	92%	0	0	0
Books-a-zillion	810.00	89	643.0	4.8503	4	82%	0	0	0
Booksmandi	770.00	2,531	603.0	4.6108	4.5	89%	0	0	0
SAI BOOKS	801.00	181	634.0	4.7964	3	46%	0	0	0
BooksRaja	731.00	171	564.0	4.3772	4.5	85%	0	0	0
Books-a-zillion	810.00	89	643.0	4.8503	4	82%	0	0	0
Sunrise Book store	794.00	1,357	627.0	4.7545	3.5	61%	0	0	0
SAI BOOKS	801.00	181	634.0	4.7964	3	46%	0	0	0
The Grand_Store	810.00	10	643.0	4.8503	3	50%	0	0	0
Ebookstore	1072.00	522	905.0	6.4192	4.5	85%	0	0	0
Book eHub	1110.00	32	943.0	6.6467	4	74%	0	0	0
ASIAN TREASURES	1149.00	18	982.0	6.8802	4.5	94%	0	0	0
Speedy_Books	1352.00	490	1185.0	8.0958	4.5	81%	0	0	0
SAI BOOKS	1042.00	181	875.0	6.2395	3	46%	0	0	0
