Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Om Sakthi Books International	292.58	44	0.0	1.0	3.5	60%	0	0	0
uRead-Store	421.00	25,152	128.42	1.4389	4.5	92%	1	0	1
Amazing_Buy	480.00	17,790	187.42	1.6406	4.5	95%	1	0	0
pigloo house	555.00	1	262.42	1.8969	5	100%	0	0	0
MK BOOKS INDIA	594.00	2,249	301.42	2.0302	2.5	34%	0	0	0
AskTech Books	523.00	2	230.42	1.7875	2.5	50%	0	0	0
Inetrade India	521.48	3,256	228.9	1.7824	4	75%	0	0	0
Books For All	609.00	314	316.42	2.0815	4	81%	1	0	0
Comma365	576.00	2,242	283.42	1.9687	4.5	95%	0	0	0
ReadAhead	629.00	213	336.42	2.1498	4	79%	0	0	0
The Bookhive	559.20	43	266.62	1.9113	4	80%	0	0	0
HERITAGE PUBLISHERS	664.00	783	371.42	2.2695	4.5	94%	0	0	0
Booksmandi	560.00	2,531	267.42	1.914	4.5	89%	0	0	0
Read factor	699.00	1,532	406.42	2.3891	3.5	67%	0	0	0
Santusti Enterprises	699.00	26	406.42	2.3891	4	81%	0	0	0
Abhinav Books Store	629.10	60	336.52	2.1502	3	53%	0	0	0
BW ENTERPRISES	545.00	44	252.42	1.8627	4	79%	0	0	0
READERS CHOICE BOOKS	664.00	100	371.42	2.2695	4	76%	0	0	0
Browsers' Lounge	666.00	122	373.42	2.2763	4.5	96%	0	0	0
Kushii Radiance Bookshop	665.00	63	372.42	2.2729	4.5	84%	0	0	0
Om Sakthi Books International	292.58	44	0.0	1.0	3.5	60%	0	0	0
Booksmandi	617.00	2,531	324.42	2.1088	4.5	89%	0	0	0
A to Z Book House	699.00	1,275	406.42	2.3891	3	45%	0	0	0
Ambe Books	738.83	2	446.25	2.5252	3	50%	0	0	0
Ginni Books	738.83	9	446.25	2.5252	4.5	89%	0	0	0
Ginni Books	738.90	9	446.32	2.5255	4.5	89%	0	0	0
PKS RETAIL	916.00	4	623.42	3.1308	5	100%	0	0	0
ReaderBooks	933.00	442	640.42	3.1889	4	73%	0	0	0
siddharth books	999.99	51	707.41	3.4178	2.5	36%	0	0	0
