Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
bookshopToday	169.00	15	14.0	1.0903	4.5	91%	0	0	0
uRead-Store	199.00	25,160	44.0	1.2839	4.5	92%	1	0	1
CrossWord Books	179.00	116	24.0	1.1548	5	95%	0	0	0
ONLINE BOOK CORNER	233.00	99	78.0	1.5032	4.5	90%	0	0	0
Venture360	189.00	25	34.0	1.2194	3	52%	0	0	0
Vaishno Books Store	177.11	7	22.11	1.1426	4.5	86%	0	0	0
Skycart	179.00	479	24.0	1.1548	4.5	90%	0	0	0
Suryan Books	179.00	39	24.0	1.1548	4.5	95%	0	0	0
lollypop	195.00	2	40.0	1.2581	5	100%	0	0	0
Booknow	155.00	898	0.0	1.0	4	80%	0	0	0
Browsers' Lounge	198.00	122	43.0	1.2774	4.5	96%	0	0	0
ROXY BOOK SHOP	199.00	69	44.0	1.2839	4	72%	0	0	0
Books-a-zillion	179.10	89	24.1	1.1555	4	82%	0	0	0
A to Z Book House	199.00	1,275	44.0	1.2839	3	45%	0	0	0
BOOK CENTRE	210.00	862	55.0	1.3548	4	81%	0	0	0
