Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	527.00	1,516	3.0	1.0057	3.5	67%	0	0	0
World500	535.00	3,248	11.0	1.021	4	76%	0	0	0
Buy Amazing Books	559.00	3,536	35.0	1.0668	3	51%	0	0	0
Amazing_Buy	572.00	17,781	48.0	1.0916	4.5	95%	1	0	1
Pillbooks	599.00		75.0	1.1431			0	0	0
Book Selection Centre	524.00	136	0.0	1.0	4.5	96%	0	0	0
Goodread Bookstore	615.00	579	91.0	1.1737	5	97%	1	0	0
ReadAhead	629.00	213	105.0	1.2004	4	79%	0	0	0
Inetrade India	586.89	3,249	62.89	1.12	4	75%	0	0	0
MK BOOKS INDIA	679.00	2,245	155.0	1.2958	2.5	34%	0	0	0
Sri Ganesha Books	575.00	382	51.0	1.0973	4	82%	0	0	0
FOUNTAINHEAD	575.00	98	51.0	1.0973	4.5	91%	0	0	0
SBM Enterprises	591.26	48	67.26	1.1284	4	75%	0	0	0
A Mind's Bookstore	583.00	1,409	59.0	1.1126	4.5	89%	0	0	0
The Grand_Store	610.00	10	86.0	1.1641	3	50%	0	0	0
Bookflow	719.10	3,100	195.1	1.3723	3.5	67%	0	0	0
BooksRaja	647.00	171	123.0	1.2347	4.5	85%	0	0	0
O_Store	575.28	593	51.28	1.0979	4.5	87%	0	0	0
Skycart	655.00	479	131.0	1.25	4.5	90%	0	0	0
Sunrise Book store	606.00	1,356	82.0	1.1565	3.5	61%	0	0	0
ScribbleGraffito	663.17	29	139.17	1.2656	4.5	91%	0	0	0
Suraj Trading - Express Delivery	649.00	48	125.0	1.2385	3	53%	0	0	0
BSK Book	749.00	159	225.0	1.4294	3.5	60%	0	0	0
S B T books	645.00	113	121.0	1.2309	4.5	88%	0	0	0
W S Retaill	645.00	34	121.0	1.2309	3.5	69%	0	0	0
Booksmandi	640.00	2,530	116.0	1.2214	4.5	89%	0	0	0
CrossWord Books	735.00	116	211.0	1.4027	5	95%	0	0	0
BookInc	720.00	17	196.0	1.374	4.5	94%	0	0	0
famous_Books	799.00	3	275.0	1.5248	5	100%	0	0	0
Santusti Enterprises	799.00	26	275.0	1.5248	4	81%	0	0	0
ReadAhead	719.00	213	195.0	1.3721	4	79%	0	0	0
Bookflow	719.10	3,100	195.1	1.3723	3.5	67%	0	0	0
Book store01	779.00	11	255.0	1.4866	3	45%	0	0	0
Venture360	759.00	25	235.0	1.4485	3	52%	0	0	0
Books-a-zillion	719.10	89	195.1	1.3723	4	82%	0	0	0
BOOKKR	799.00	5	275.0	1.5248	3.5	60%	0	0	0
A to Z Book House	799.00	1,275	275.0	1.5248	3	46%	0	0	0
SAI BOOKS	791.00	181	267.0	1.5095	3	46%	0	0	0
MidLand_Books	999.00		475.0	1.9065			0	0	0
B2A UK	1601.00	6,928	1077.0	3.0553	4.5	83%	0	0	0
Bookflow	719.10	3,100	195.1	1.3723	3.5	67%	0	0	0
S B T books	743.00	113	219.0	1.4179	4.5	88%	0	0	0
W S Retaill	737.00	34	213.0	1.4065	3.5	69%	0	0	0
BSK Book	749.00	159	225.0	1.4294	3.5	60%	0	0	0
BOOKKR	799.00	5	275.0	1.5248	3.5	60%	0	0	0
