Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cloudtail India	579.00	1,299,292	0.0	1.0	4.5	92%	1	1	1
uRead-Store	579.87	25,153	0.87	1.0015	4.5	92%	1	0	0
Mittal Books India	687.00	15,729	108.0	1.1865	4.5	95%	1	0	0
The_Multimedia_Shop	590.00	117	11.0	1.019	4	85%	0	0	0
ReaderBooks	654.00	442	75.0	1.1295	4	73%	0	0	0
DIGITAL PRESS	745.00	66	166.0	1.2867	3	58%	0	0	0
Comma365	724.00	2,242	145.0	1.2504	4.5	95%	0	0	0
JBCPD	776.00	32,618	197.0	1.3402	4.5	93%	1	0	0
Inetrade India	702.34	3,256	123.34	1.213	4	75%	0	0	0
Sunrise Book store	664.00	1,359	85.0	1.1468	3.5	61%	0	0	0
BooksRaja	706.00	171	127.0	1.2193	4.5	85%	0	0	0
V5MARK	713.00	8	134.0	1.2314	4	75%	0	0	0
BOOK CENTRE	777.00	862	198.0	1.342	4	81%	0	0	0
Manila Books Services	779.00	13	200.0	1.3454	4.5	92%	0	0	0
Books-a-zillion	779.00	89	200.0	1.3454	4	82%	0	0	0
Booksmandi	741.00	2,531	162.0	1.2798	4.5	89%	0	0	0
The Grand_Store	780.00	10	201.0	1.3472	3	50%	0	0	0
SAI BOOKS	771.00	181	192.0	1.3316	3	46%	0	0	0
Ebookstore	1024.00	522	445.0	1.7686	4.5	85%	0	0	0
Book eHub	1085.00	32	506.0	1.8739	4	72%	0	0	0
Sunrise Book store	682.00	1,359	103.0	1.1779	3.5	61%	0	0	0
BooksRaja	706.00	171	127.0	1.2193	4.5	85%	0	0	0
Books-a-zillion	779.00	89	200.0	1.3454	4	82%	0	0	0
ASIAN TREASURES	1100.00	18	521.0	1.8998	4.5	94%	0	0	0
Universal Books House	999.00	1	420.0	1.7254	5	100%	0	0	0
Speedy_Books	1211.00	490	632.0	2.0915	4.5	81%	0	0	0
