Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	263.00	1,517	1.93	1.0074	3.5	67%	0	0	0
Amazing_Buy	336.07	17,783	75.0	1.2873	4.5	95%	1	0	0
uRead-Store	336.07	25,130	75.0	1.2873	4.5	92%	1	0	1
Inetrade India	261.07	3,250	0.0	1.0	4	75%	0	0	0
Bookflow	347.13	3,100	86.06	1.3296	3.5	67%	0	0	0
Royal500	399.00	875	137.93	1.5283	4.5	92%	0	0	0
MK BOOKS INDIA	399.00	2,247	137.93	1.5283	2.5	34%	0	0	0
ScribbleGraffito	331.17	29	70.1	1.2685	4.5	91%	0	0	0
READERS CHOICE BOOKS	359.00	100	97.93	1.3751	4	76%	0	0	0
INFINITE BOOKS	1151.04	283	889.97	4.4089	5	99%	0	0	0
Bookswagon	1216.00	6,376	954.93	4.6578	4	70%	0	0	0
Sunrise Book store	1326.00	1,356	1064.93	5.0791	3.5	61%	0	0	0
Sunrise Book store	1188.00	1,356	926.93	4.5505	3.5	61%	0	0	0
etohfa	1995.00	23	1733.93	7.6416	5	100%	0	0	0
