Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	395.00	1,518	55.0	1.1618	3.5	67%	0	0	0
World500	401.00	3,248	61.0	1.1794	4	76%	0	0	0
Amazing_Buy	433.00	17,785	93.0	1.2735	4.5	95%	1	0	1
Aaditya BOOK SERVICE	340.00	66	0.0	1.0	4	73%	0	0	0
somsebooks	449.00		109.0	1.3206			0	0	0
Inetrade India	391.89	3,252	51.89	1.1526	4	75%	0	0	0
MK BOOKS INDIA	509.00	2,247	169.0	1.4971	2.5	34%	0	0	0
FOUNTAINHEAD	431.00	98	91.0	1.2676	4.5	91%	0	0	0
Sri Ganesha Books	431.00	382	91.0	1.2676	4	82%	0	0	0
AskTech Books	451.00	2	111.0	1.3265	2.5	50%	0	0	0
A Mind's Bookstore	437.00	1,409	97.0	1.2853	4.5	89%	0	0	0
uRead-Store	520.00	25,132	180.0	1.5294	4.5	92%	1	0	0
SBM Enterprises	443.26	48	103.26	1.3037	4	75%	0	0	0
Goodread Bookstore	539.00	579	199.0	1.5853	5	97%	1	0	0
Book Selection Centre	449.00	136	109.0	1.3206	4.5	96%	0	0	0
ReadAhead	539.00	213	199.0	1.5853	4	79%	0	0	0
Bookflow	539.10	3,100	199.1	1.5856	3.5	67%	0	0	0
Comma365	505.00	2,242	165.0	1.4853	4.5	95%	0	0	0
Royal500	546.00	875	206.0	1.6059	4.5	92%	0	0	0
Browsers' Lounge	479.20	122	139.2	1.4094	4.5	96%	0	0	0
The Bookhive	479.20	43	139.2	1.4094	4	80%	0	0	0
BW ENTERPRISES	467.00	44	127.0	1.3735	4	79%	0	0	0
BSK Book	564.00	159	224.0	1.6588	3.5	60%	0	0	0
Mumbai gift corner	569.00	718	229.0	1.6735	4.5	89%	0	0	0
HERITAGE PUBLISHERS	569.00	783	229.0	1.6735	4.5	94%	0	0	0
fairdealenterprise	461.23	41	121.23	1.3566	2.5	34%	0	0	0
S B T books	553.00	113	213.0	1.6265	4.5	88%	0	0	0
W S Retaill	553.00	34	213.0	1.6265	3.5	69%	0	0	0
Skycart	500.00	479	160.0	1.4706	4.5	90%	0	0	0
ScribbleGraffito	497.17	29	157.17	1.4623	4.5	91%	0	0	0
Booksmandi	480.00	2,531	140.0	1.4118	4.5	89%	0	0	0
Booknow	479.00	898	139.0	1.4088	4	80%	0	0	0
Book store01	564.00	11	224.0	1.6588	3	45%	0	0	0
Buy Amazing Books	599.00	3,536	259.0	1.7618	3	51%	0	0	0
Santusti Enterprises	599.00	26	259.0	1.7618	4	81%	0	0	0
killer,sbooks	599.00	18	259.0	1.7618	5	100%	0	0	0
CrossWord Books	551.00	116	211.0	1.6206	5	95%	0	0	0
Amazing BookS	479.00	106	139.0	1.4088	3	54%	0	0	0
amazingbuy_	539.00	1	199.0	1.5853	5	100%	0	0	0
MEETA BOOKS	539.00	47	199.0	1.5853	2.5	36%	0	0	0
BookInc	558.00	17	218.0	1.6412	4.5	94%	0	0	0
BOOKKR	599.00	5	259.0	1.7618	3.5	60%	0	0	0
famous_Books	695.00	3	355.0	2.0441	5	100%	0	0	0
A to Z Book House	599.00	1,275	259.0	1.7618	3	46%	0	0	0
SN Square	659.00	59	319.0	1.9382	4	75%	0	0	0
Ginni Books	619.55	9	279.55	1.8222	4.5	89%	0	0	0
Ambe Books	619.55	2	279.55	1.8222	3	50%	0	0	0
ROSHAN COLLECTION	670.92		330.92	1.9733			0	0	0
Bookswagon	904.00	6,377	564.0	2.6588	4	70%	0	0	0
Sunrise Book store	899.00	1,356	559.0	2.6441	3.5	61%	0	0	0
Bookflow	539.10	3,100	199.1	1.5856	3.5	67%	0	0	0
CrossWord Books	551.00	116	211.0	1.6206	5	95%	0	0	0
Bookswagon	1127.00	6,377	787.0	3.3147	4	70%	0	0	0
Bookswagon	1144.00	6,377	804.0	3.3647	4	70%	0	0	0
Sunrise Book store	984.00	1,356	644.0	2.8941	3.5	61%	0	0	0
JustBuyBooks	1214.00	26	874.0	3.5706	3.5	69%	0	0	0
Sunrise Book store	1118.00	1,356	778.0	3.2882	3.5	61%	0	0	0
B2A UK	1342.00	6,928	1002.0	3.9471	4.5	83%	0	0	0
etohfa	2634.00	23	2294.0	7.7471	5	100%	0	0	0
Bookswagon	1144.00	6,377	804.0	3.3647	4	70%	0	0	0
Sunrise Book store	1309.00	1,356	969.0	3.85	3.5	61%	0	0	0
