Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
dealstar	355.00	6,596	16.1	1.0475	4.5	85%	0	0	0
Inetrade India	338.90	3,252	0.0	1.0	4	75%	0	0	1
MK BOOKS INDIA	424.00	2,247	85.1	1.2511	2.5	34%	0	0	0
FOUNTAINHEAD	359.00	98	20.1	1.0593	4.5	91%	0	0	0
Sri Ganesha Books	359.00	382	20.1	1.0593	4	82%	0	0	0
Goodread Bookstore	359.00	579	20.1	1.0593	5	97%	0	0	0
A Mind's Bookstore	364.00	1,409	25.1	1.0741	4.5	89%	0	0	0
Comma365	415.00	2,242	76.1	1.2246	4.5	95%	0	0	0
SBM Enterprises	369.26	48	30.36	1.0896	4	75%	0	0	0
HERITAGE PUBLISHERS	469.00	783	130.1	1.3839	4.5	94%	0	0	0
The Bookhive	399.20	43	60.3	1.1779	4	80%	0	0	0
Suryan Books	399.00	39	60.1	1.1773	4.5	95%	0	0	0
BW ENTERPRISES	385.00	44	46.1	1.136	4	79%	0	0	0
aspire india	399.00	331	60.1	1.1773	4	73%	0	0	0
Winmaarc	485.00	118	146.1	1.4311	3.5	68%	0	0	0
Read factor	499.00	1,522	160.1	1.4724	3.5	67%	0	0	0
Booksmandi	400.00	2,531	61.1	1.1803	4.5	89%	0	0	0
Resource book store	424.00	1	85.1	1.2511	5	100%	0	0	0
The Grand_Store	450.00	10	111.1	1.3278	3	50%	0	0	0
BookAdda	439.00	365	100.1	1.2954	3	47%	0	0	0
Abhinav Books Store	439.12	60	100.22	1.2957	3	54%	0	0	0
Kushii Radiance Bookshop	450.00	63	111.1	1.3278	4.5	84%	0	0	0
Browsers' Lounge	477.00	122	138.1	1.4075	4.5	96%	0	0	0
Books-a-zillion	449.10	89	110.2	1.3252	4	82%	0	0	0
A to Z Book House	499.00	1,275	160.1	1.4724	3	46%	0	0	0
Maitry book Agency	499.00	139	160.1	1.4724	3.5	68%	0	0	0
SAI BOOKS	494.00	181	155.1	1.4577	3	46%	0	0	0
Atlantic Publishers and Distributors	618.00	14,537	279.1	1.8235	4.5	94%	0	0	0
Bookswagon	726.00	6,377	387.1	2.1422	4	70%	0	0	0
Peacockbooks	673.00	2,801	334.1	1.9858	4.5	92%	0	0	0
Abhinav Books Store	449.10	60	110.2	1.3252	3	54%	0	0	0
Bookswagon	734.00	6,377	395.1	2.1658	4	70%	0	0	0
Sunrise Book store	696.00	1,356	357.1	2.0537	3.5	61%	0	0	0
Sunrise Book store	721.00	1,356	382.1	2.1275	3.5	61%	0	0	0
B2A UK	1087.00	6,928	748.1	3.2074	4.5	83%	0	0	0
etohfa	2152.00	23	1813.1	6.35	5	100%	0	0	0
