Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Amazing_Buy	409.00	17,791	0.0	1.0	4.5	95%	1	0	0
uRead-Store	409.00	25,154	0.0	1.0	4.5	92%	1	0	1
Cloudtail India	485.00	1,299,292	76.0	1.1858	4.5	92%	1	1	0
Goodread Bookstore	539.00	579	130.0	1.3178	5	97%	1	0	0
MK BOOKS INDIA	599.00	2,249	190.0	1.4645	2.5	34%	0	0	0
CrossWord Books	551.00	116	142.0	1.3472	5	95%	0	0	0
BookInc	558.00	17	149.0	1.3643	4.5	94%	0	0	0
SN Square	659.00	59	250.0	1.6112	4	75%	0	0	0
Bookswagon	793.00	6,387	384.0	1.9389	4	70%	0	0	0
S B T books	554.00	113	145.0	1.3545	4.5	88%	0	0	0
W S Retaill	554.00	34	145.0	1.3545	3.5	68%	0	0	0
Sunrise Book store	790.00	1,360	381.0	1.9315	3.5	61%	0	0	0
etohfa	4507.00	23	4098.0	11.0196	5	100%	0	0	0
