Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
dealstar	355.00	6,596	0.0	1.0	4.5	85%	0	0	0
uRead-Store	399.00	25,136	44.0	1.1239	4.5	92%	1	0	1
Read factor	399.00	1,528	44.0	1.1239	3.5	67%	0	0	0
Atlantic Publishers and Distributors	608.00	14,538	253.0	1.7127	4.5	94%	0	0	0
Peacockbooks	663.00	2,801	308.0	1.8676	4.5	92%	0	0	0
Bookswagon	721.00	6,382	366.0	2.031	4	70%	0	0	0
Bookswagon	722.00	6,382	367.0	2.0338	4	70%	0	0	0
Sunrise Book store	691.00	1,358	336.0	1.9465	3.5	61%	0	0	0
Sunrise Book store	716.00	1,358	361.0	2.0169	3.5	61%	0	0	0
B2A UK	1084.00	6,928	729.0	3.0535	4.5	83%	0	0	0
