Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	279.00	1,532	17.93	1.0687	3.5	67%	0	0	0
Essay Shopping Malls	320.00	52	58.93	1.2257	4	75%	0	0	0
Trans Infopreneur Inc	325.00	218	63.93	1.2449	4.5	94%	1	0	1
Inetrade India	261.07	3,255	0.0	1.0	4	75%	0	0	0
MK BOOKS INDIA	339.00	2,249	77.93	1.2985	2.5	34%	0	0	0
Bookflow	347.13	3,100	86.06	1.3296	3.5	68%	0	0	0
HERITAGE PUBLISHERS	379.00	783	117.93	1.4517	4.5	94%	0	0	0
Crossword Bookstores Ltd	319.00	2,475	57.93	1.2219	4	74%	0	0	0
Sunrise Book store	327.00	1,359	65.93	1.2525	3.5	61%	0	0	0
ScribbleGraffito	331.17	29	70.1	1.2685	4.5	91%	0	0	0
BookAdda	355.00	365	93.93	1.3598	3	46%	0	0	0
Books-a-zillion	359.10	89	98.03	1.3755	4	82%	0	0	0
Ginni Books	447.26	9	186.19	1.7132	4.5	89%	0	0	0
Ambe Books	447.26	2	186.19	1.7132	3	50%	0	0	0
ROSHAN COLLECTION	454.92		193.85	1.7425			0	0	0
PKS RETAIL	566.00	4	304.93	2.168	5	100%	0	0	0
SAI BOOKS	395.00	181	133.93	1.513	3	46%	0	0	0
Bookswagon	633.00	6,387	371.93	2.4246	4	70%	0	0	0
Books: The Destiny Maker	499.00	285	237.93	1.9114	4	68%	0	0	0
Atlantic Publishers and Distributors	548.00	14,540	286.93	2.0991	4.5	94%	0	0	0
Trans Infopreneur Inc	326.00	218	64.93	1.2487	4.5	94%	0	0	1
Bookflow	359.10	3,100	98.03	1.3755	3.5	68%	0	0	0
ScribbleGraffito	331.17	29	70.1	1.2685	4.5	91%	0	0	0
Ginni Books	447.33	9	186.26	1.7134	4.5	89%	0	0	0
Peacockbooks	603.00	2,801	341.93	2.3097	4.5	92%	0	0	0
Bookswagon	662.00	6,387	400.93	2.5357	4	70%	0	0	0
Sunrise Book store	662.00	1,359	400.93	2.5357	3.5	61%	0	0	0
Sunrise Book store	594.00	1,359	332.93	2.2753	3.5	61%	0	0	0
B2A UK	988.00	6,928	726.93	3.7844	4.5	83%	0	0	0
etohfa	2233.00	23	1971.93	8.5533	5	100%	0	0	0
Sunrise Book store	655.00	1,359	393.93	2.5089	3.5	61%	0	0	0
