Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	395.00	1,517	45.0	1.1286	3.5	67%	0	0	0
uRead-Store	410.00	25,131	60.0	1.1714	4.5	92%	1	0	1
Amazing_Buy	410.00	17,783	60.0	1.1714	4.5	95%	1	0	0
Books Mela	350.00	65	0.0	1.0	4.5	80%	0	0	0
Inetrade India	391.89	3,250	41.89	1.1197	4	75%	0	0	0
MK BOOKS INDIA	509.00	2,247	159.0	1.4543	2.5	34%	0	0	0
A Mind's Bookstore	437.00	1,409	87.0	1.2486	4.5	89%	0	0	0
Royal500	531.00	875	181.0	1.5171	4.5	92%	0	0	0
O_Store	449.25	593	99.25	1.2836	4.5	87%	0	0	0
Goodread Bookstore	539.00	579	189.0	1.54	5	97%	1	0	0
Book Selection Centre	449.00	136	99.0	1.2829	4.5	96%	0	0	0
ReadAhead	539.00	213	189.0	1.54	4	79%	0	0	0
Bookflow	539.10	3,100	189.1	1.5403	3.5	67%	0	0	0
Payal Books	450.00	657	100.0	1.2857	3	51%	0	0	0
HERITAGE PUBLISHERS	569.00	783	219.0	1.6257	4.5	94%	0	0	0
Booknow	467.00	898	117.0	1.3343	4	80%	0	0	0
Skycart	500.00	479	150.0	1.4286	4.5	90%	0	0	0
ScribbleGraffito	497.17	29	147.17	1.4205	4.5	91%	0	0	0
Suraj Trading - Express Delivery	487.00	48	137.0	1.3914	3	53%	0	0	0
Aashirvaad Ecommerce	592.00		242.0	1.6914			0	0	0
BetterDeals	599.00	12	249.0	1.7114	5	100%	0	0	0
Santusti Enterprises	599.00	26	249.0	1.7114	4	81%	0	0	0
Buy24*7	599.00	19	249.0	1.7114	4.5	89%	0	0	0
CrossWord Books	551.00	116	201.0	1.5743	5	95%	0	0	0
Book store01	579.00	11	229.0	1.6543	3	45%	0	0	0
Shreeganesh16	534.00	27	184.0	1.5257	4.5	83%	0	0	0
MEETA BOOKS	539.00	47	189.0	1.54	2.5	36%	0	0	0
S B T books	557.00	113	207.0	1.5914	4.5	88%	0	0	0
W S Retaill	553.00	34	203.0	1.58	3.5	69%	0	0	0
BookAdda	551.00	365	201.0	1.5743	3	47%	0	0	0
BOOKKR	599.00	5	249.0	1.7114	3.5	60%	0	0	0
Books-a-zillion	539.10	89	189.1	1.5403	4	82%	0	0	0
Buy Amazing Books	649.00	3,536	299.0	1.8543	3	51%	0	0	0
MAGADH BOOKSTORE	599.00	163	249.0	1.7114	4.5	88%	0	0	0
A to Z Book House	599.00	1,275	249.0	1.7114	3	46%	0	0	0
SAI BOOKS	593.00	181	243.0	1.6943	3	46%	0	0	0
PKS RETAIL	854.00	4	504.0	2.44	5	100%	0	0	0
Bookswagon	871.00	6,377	521.0	2.4886	4	70%	0	0	0
INFINITE BOOKS	994.47	283	644.47	2.8413	5	99%	0	0	0
Sunrise Book store	866.00	1,356	516.0	2.4743	3.5	61%	0	0	0
CrossWord Books	551.00	116	201.0	1.5743	5	95%	0	0	0
Bookswagon	977.00	6,377	627.0	2.7914	4	70%	0	0	0
Sunrise Book store	951.00	1,356	601.0	2.7171	3.5	61%	0	0	0
Bookswagon	1142.00	6,377	792.0	3.2629	4	70%	0	0	0
Atlantic Publishers and Distributors	1272.00	14,537	922.0	3.6343	4.5	94%	1	0	0
Sunrise Book store	1116.00	1,356	766.0	3.1886	3.5	61%	0	0	0
SmartGlobal	1500.00	212	1150.0	4.2857	3	50%	0	0	0
Fast Media 2	2024.51	6,005	1674.51	5.7843	4	72%	0	0	0
etohfa	2391.00	23	2041.0	6.8314	5	100%	0	0	0
