Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
A H boOKS	391.00	5	0.0	1.0	5	100%	0	0	0
MM Books Shop	400.00	4	9.0	1.023	5	100%	0	0	0
DONE DEAL	450.00	327	59.0	1.1509	4.5	98%	0	0	0
Cloudtail India	505.00	1,299,273	114.0	1.2916	4.5	92%	1	1	1
ONLINE SHOPPING NOW EASY	531.00	184	140.0	1.3581	4	72%	0	0	0
NEWLIGHT BOOK HOUSE	550.00	135	159.0	1.4066	3.5	67%	0	0	0
Crack The Deal	570.00	345	179.0	1.4578	4.5	88%	0	0	0
Sunrise Book store	541.00	1,359	150.0	1.3836	3.5	61%	0	0	0
Education Centre	550.00	13	159.0	1.4066	2	23%	0	0	0
BookAdda	625.00	365	234.0	1.5985	3	46%	0	0	0
ONLINE SHOPPING NOW EASY	550.00	184	159.0	1.4066	4	72%	0	0	0
compare price	550.00	58	159.0	1.4066	4	76%	0	0	0
Books-a-zillion	625.00	89	234.0	1.5985	4	82%	0	0	0
justshopindia	625.00	2	234.0	1.5985	5	100%	0	0	0
justshopindia	649.00	2	258.0	1.6598	5	100%	0	0	0
TRIPATHI'S	799.00		408.0	2.0435			0	0	0
MK BOOKS INDIA	1099.00	2,248	708.0	2.8107	2.5	34%	0	0	0
D R	4648.00	12,169	4257.0	11.8875	4	82%	0	0	0
