Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
uRead-Store	689.00	25,155	0.0	1.0	4.5	92%	1	0	1
Atlantic Publishers and Distributors	1424.00	14,541	735.0	2.0668	4.5	94%	1	0	0
Mittal Books India	1772.00	15,729	1083.0	2.5718	4.5	95%	1	0	0
Bookswagon	1857.00	6,386	1168.0	2.6952	4	70%	0	0	0
Bookswagon	1887.00	6,386	1198.0	2.7388	4	70%	0	0	0
B2A UK	1931.00	6,928	1242.0	2.8026	4.5	83%	0	0	0
Sunrise Book store	1796.00	1,360	1107.0	2.6067	3.5	61%	0	0	0
INFINITE BOOKS	2134.43	290	1445.43	3.0979	5	99%	0	0	0
Fast Media 2	2666.45	6,006	1977.45	3.87	4	72%	0	0	0
etohfa	4007.00	23	3318.0	5.8157	5	100%	0	0	0
Bookswagon	1893.00	6,386	1204.0	2.7475	4	70%	0	0	0
Bookswagon	1983.00	6,386	1294.0	2.8781	4	70%	0	0	0
Sunrise Book store	1852.00	1,360	1163.0	2.688	3.5	61%	0	0	0
Bookswagon	2038.00	6,386	1349.0	2.9579	4	70%	0	0	0
Sunrise Book store	1889.00	1,360	1200.0	2.7417	3.5	61%	0	0	0
Sunrise Book store	2070.00	1,360	1381.0	3.0044	3.5	61%	0	0	0
Bookswagon	2038.00	6,386	1349.0	2.9579	4	70%	0	0	0
Sunrise Book store	1954.00	1,360	1265.0	2.836	3.5	61%	0	0	0
Sunrise Book store	1981.00	1,360	1292.0	2.8752	3.5	61%	0	0	0
