Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	297.00	1,524	2.57	1.0087	3.5	67%	0	0	0
World500	306.00	3,255	11.57	1.0393	4	76%	0	0	0
shivaji123 enterprises	338.00		43.57	1.148			0	0	0
VEKBook	338.00		43.57	1.148			0	0	0
somsebooks	338.00		43.57	1.148			0	0	0
Trans Infopreneur Inc	347.00	218	52.57	1.1785	4.5	94%	1	0	0
uRead-Store	347.00	25,134	52.57	1.1785	4.5	92%	1	0	1
Amazing_Buy	347.00	17,787	52.57	1.1785	4.5	95%	1	0	0
Namana Book Palace	310.00	4	15.57	1.0529	3	50%	0	0	0
BOOKFACTRY	360.00	1	65.57	1.2227	5	100%	0	0	0
BooksStation	360.00		65.57	1.2227			0	0	0
Book,stage	360.00		65.57	1.2227			0	0	0
Essay Shopping Malls	364.00	52	69.57	1.2363	4	75%	0	0	0
Inetrade India	294.43	3,253	0.0	1.0	4	75%	0	0	0
siddharth books	300.00	51	5.57	1.0189	2.5	36%	0	0	0
MK BOOKS INDIA	383.00	2,247	88.57	1.3008	2.5	34%	0	0	0
Bookflow	391.50	3,100	97.07	1.3297	3.5	67%	0	0	0
Book Wise Darya Ganj	395.00	1,098	100.57	1.3416	4.5	89%	0	0	0
FOUNTAINHEAD	324.00	98	29.57	1.1004	4.5	91%	0	0	0
Sri Ganesha Books	324.00	382	29.57	1.1004	4	82%	0	0	0
AskTech Books	345.00	2	50.57	1.1718	2.5	50%	0	0	0
O_Store	324.00	593	29.57	1.1004	4.5	87%	0	0	0
A Mind's Bookstore	328.00	1,409	33.57	1.114	4.5	89%	0	0	0
Comma365	381.00	2,242	86.57	1.294	4.5	95%	0	0	0
SBM Enterprises	333.00	48	38.57	1.131	4	75%	0	0	0
fairdealenterprise	346.50	41	52.07	1.1769	2.5	34%	0	0	0
S B T books	415.00	113	120.57	1.4095	4.5	88%	0	0	0
W S Retaill	415.00	34	120.57	1.4095	3.5	69%	0	0	0
HERITAGE PUBLISHERS	428.00	783	133.57	1.4537	4.5	94%	0	0	0
Aashirvaad Ecommerce	430.00		135.57	1.4604			0	0	0
killer,sbooks	432.00	18	137.57	1.4672	5	100%	0	0	0
Browsers' Lounge	360.00	122	65.57	1.2227	4.5	96%	0	0	0
The Bookhive	360.00	43	65.57	1.2227	4	80%	0	0	0
Royal500	435.00	878	140.57	1.4774	4.5	92%	0	0	0
Darth Vader	358.00	61	63.57	1.2159	4	77%	0	0	0
Suryan Books	360.00	39	65.57	1.2227	4.5	95%	0	0	0
BSK Book	440.00	159	145.57	1.4944	3.5	60%	0	0	0
Book Selection Centre	350.00	136	55.57	1.1887	4.5	96%	0	0	0
Buy Amazing Books	450.00	3,549	155.57	1.5284	3	51%	0	0	0
Okhla Book Distributor	315.00	59	20.57	1.0699	4.5	95%	0	0	0
ScribbleGraffito	373.50	29	79.07	1.2686	4.5	91%	0	0	0
BW ENTERPRISES	360.00	44	65.57	1.2227	4	79%	0	0	0
Mumbai gift corner	456.00	718	161.57	1.5488	4.5	89%	0	0	0
Booknow	351.00	898	56.57	1.1921	4	80%	0	0	0
BooksRaja	358.00	171	63.57	1.2159	4.5	85%	0	0	0
Booksmandi	360.00	2,531	65.57	1.2227	4.5	89%	0	0	0
CrossWord Books	414.00	116	119.57	1.4061	5	95%	0	0	0
Starmark	405.00	2,139	110.57	1.3755	3.5	68%	0	0	0
V5MARK	372.00	8	77.57	1.2635	4	75%	0	0	0
Shreeganesh16	408.00	27	113.57	1.3857	4.5	83%	0	0	0
BOOKKR	450.00	5	155.57	1.5284	3.5	60%	0	0	0
BookAdda	414.00	365	119.57	1.4061	3	47%	0	0	0
Amazing BookS	360.00	106	65.57	1.2227	3	54%	0	0	0
BookInc	419.00	17	124.57	1.4231	4.5	94%	0	0	0
Book store01	480.00	11	185.57	1.6303	3	45%	0	0	0
PRISM ONLINE	450.00	62	155.57	1.5284	4	68%	0	0	0
Best Price_	499.00	224	204.57	1.6948	4	82%	0	0	0
A to Z Book House	450.00	1,275	155.57	1.5284	3	46%	0	0	0
Payal Books	450.00	657	155.57	1.5284	3	51%	0	0	0
SN Square	495.00	59	200.57	1.6812	4	75%	0	0	0
Read factor	297.00	1,524	2.57	1.0087	3.5	67%	0	0	0
Trans Infopreneur Inc	348.00	218	53.57	1.1819	4.5	94%	0	0	0
CrossWord Books	414.00	116	119.57	1.4061	5	95%	0	0	0
Books-a-zillion	450.00	89	155.57	1.5284	4	82%	0	0	0
ROSHAN COLLECTION	510.00		215.57	1.7322			0	0	0
SAI BOOKS	445.00	181	150.57	1.5114	3	46%	0	0	0
New Book Links	606.00	59	311.57	2.0582	4	73%	0	0	0
Technical Book	695.00	53	400.57	2.3605	3.5	62%	0	0	0
