Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
J B Books Sellers & Distributors	390.00	770	50.0	1.1471	4	81%	0	0	0
PK Textbooks	340.00	31	0.0	1.0	3.5	61%	0	0	0
PICK A BOOKS	395.00	165	55.0	1.1618	4	78%	0	0	0
Your Book store	399.00	17	59.0	1.1735	4.5	88%	0	0	0
STM Traders Pvt Ltd	529.65	1,278	189.65	1.5578	4.5	89%	1	0	0
GREENERY EXPORTS	535.00	2	195.0	1.5735	1	0%	0	0	0
UNIVERSAL BOOK SHOWROOMS	450.00	1,081	110.0	1.3235	4	80%	0	0	0
Bala Book Center	559.35	11	219.35	1.6451	3	45%	0	0	0
JBCPD	598.00	32,618	258.0	1.7588	4.5	93%	1	0	0
Manifest Services	499.00	2	159.0	1.4676	5	100%	0	0	0
RA Books	605.00	5	265.0	1.7794	4.5	100%	0	0	0
QUALITYBOOKS INDIA	617.46	50	277.46	1.8161	4.5	94%	0	0	0
Connect Readers	580.00	22	240.0	1.7059	4	74%	0	0	0
PK Textbooks	529.65	31	189.65	1.5578	3.5	61%	0	0	0
DIGITAL PRESS	650.00	66	310.0	1.9118	3	58%	0	0	0
Rajkesar books hub	525.00	10	185.0	1.5441	3	50%	0	0	0
Saibookdepot	650.00	43	310.0	1.9118	3	44%	0	0	0
Payal Books	699.00	657	359.0	2.0559	3	51%	0	0	0
chandbookdepot	739.00		399.0	2.1735			0	0	0
Books-a-zillion	859.00	89	519.0	2.5265	4	82%	0	0	0
Rajkesar books hub	595.00	10	255.0	1.75	3	50%	0	0	0
Education Centre	859.00	13	519.0	2.5265	2	23%	0	0	0
Book eHub	1151.00	32	811.0	3.3853	4	72%	0	0	0
Ebookstore	1185.00	522	845.0	3.4853	4.5	85%	0	0	0
ASIAN TREASURES	1261.00	18	921.0	3.7088	4.5	94%	0	0	0
