Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
aspire india	425.00	331	0.0	1.0	4	73%	0	0	0
uRead-Store	523.00	25,123	98.0	1.2306	4.5	92%	1	0	1
Amazing_Buy	560.00	17,778	135.0	1.3176	4.5	95%	1	0	0
ReadAhead	629.00	213	204.0	1.48	4	79%	0	0	0
Goodread Bookstore	679.00	578	254.0	1.5976	5	97%	1	0	0
Comma365	646.00	2,242	221.0	1.52	4.5	95%	0	0	0
Bookflow	711.11	3,100	286.11	1.6732	3.5	67%	0	0	0
Sunrise Book store	606.00	1,356	181.0	1.4259	3.5	61%	0	0	0
HERITAGE PUBLISHERS	759.00	783	334.0	1.7859	4.5	94%	0	0	0
A to Z Book House	799.00	1,275	374.0	1.88	3	46%	0	0	0
aspire india	600.00	331	175.0	1.4118	4	73%	0	0	0
ReadAhead	719.00	213	294.0	1.6918	4	79%	0	0	0
Bookflow	719.10	3,100	294.1	1.692	3.5	67%	0	0	0
Sunrise Book store	1219.00	1,356	794.0	2.8682	3.5	61%	0	0	0
Sunrise Book store	1287.00	1,356	862.0	3.0282	3.5	61%	0	0	0
