Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Atlantic Publishers and Distributors	1445.00	14,537	0.0	1.0	4.5	94%	0	0	1
Peacockbooks	1497.00	2,800	52.0	1.036	4.5	92%	0	0	0
Bookswagon	1600.00	6,375	155.0	1.1073	4	70%	0	0	0
Bookswagon	1603.00	6,375	158.0	1.1093	4	70%	0	0	0
Bookswagon	1670.00	6,375	225.0	1.1557	4	70%	0	0	0
Atlantic Publishers and Distributors	1680.00	14,537	235.0	1.1626	4.5	94%	0	0	1
Sunrise Book store	1548.00	1,356	103.0	1.0713	3.5	61%	0	0	0
Sunrise Book store	1630.00	1,356	185.0	1.128	3.5	61%	0	0	0
SmartGlobal	2051.00	212	606.0	1.4194	3	50%	0	0	0
D R	2363.00	12,168	918.0	1.6353	4	82%	0	0	0
Bookswagon	1667.00	6,375	222.0	1.1536	4	70%	0	0	0
Sunrise Book store	1633.00	1,356	188.0	1.1301	3.5	61%	0	0	0
Sunrise Book store	1640.00	1,356	195.0	1.1349	3.5	61%	0	0	0
