Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cloudtail India	2711.00	1,299,265	0.0	1.0	4.5	92%	1	1	1
Atlantic Publishers and Distributors	3296.00	14,540	585.0	1.2158	4.5	94%	0	0	0
Atlantic Publishers and Distributors	3317.00	14,540	606.0	1.2235	4.5	94%	0	0	0
Peacockbooks	3405.00	2,801	694.0	1.256	4.5	92%	0	0	0
B2A UK	3506.00	6,928	795.0	1.2932	4.5	83%	0	0	0
Bookswagon	3495.00	6,387	784.0	1.2892	4	70%	0	0	0
Sunrise Book store	3360.00	1,358	649.0	1.2394	3.5	61%	0	0	0
INFINITE BOOKS	4152.31	288	1441.31	1.5317	5	99%	0	0	0
Fast Media 2	4255.68	6,006	1544.68	1.5698	4	72%	0	0	0
SmartGlobal	4302.00	213	1591.0	1.5869	3	49%	0	0	0
Bookswagon	3721.00	6,387	1010.0	1.3726	4	70%	0	0	0
Sunrise Book store	3585.00	1,358	874.0	1.3224	3.5	61%	0	0	0
Bookswagon	3797.00	6,387	1086.0	1.4006	4	70%	0	0	0
Sunrise Book store	4055.00	1,358	1344.0	1.4958	3.5	61%	0	0	0
Sunrise Book store	4063.00	1,358	1352.0	1.4987	3.5	61%	0	0	0
