Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
uRead-Store	449.00	25,152	10.0	1.0228	4.5	92%	1	0	1
Amazing_Buy	449.00	17,790	10.0	1.0228	4.5	95%	1	0	0
Best Price_	439.00	224	0.0	1.0	4	82%	0	0	0
Read factor	509.00	1,532	70.0	1.1595	3.5	67%	0	0	0
MK BOOKS INDIA	509.00	2,249	70.0	1.1595	2.5	34%	0	0	0
ReadAhead	539.00	213	100.0	1.2278	4	79%	0	0	0
Bookflow	539.10	3,100	100.1	1.228	3.5	68%	0	0	0
Skycart	500.00	479	61.0	1.139	4.5	90%	0	0	0
ScribbleGraffito	497.17	29	58.17	1.1325	4.5	91%	0	0	0
Santusti Enterprises	599.00	26	160.0	1.3645	4	81%	0	0	0
The Grand_Store	580.00	10	141.0	1.3212	3	50%	0	0	0
MAGADH BOOKSTORE	599.00	163	160.0	1.3645	4.5	88%	0	0	0
ROSHAN COLLECTION	670.92		231.92	1.5283			0	0	0
INFINITE BOOKS	1316.96	288	877.96	2.9999	5	99%	0	0	0
Bookswagon	1400.00	6,387	961.0	3.1891	4	70%	0	0	0
Sunrise Book store	1395.00	1,359	956.0	3.1777	3.5	61%	0	0	0
Fast Media 2	1745.29	6,006	1306.29	3.9756	4	72%	0	0	0
SmartGlobal	1755.00	213	1316.0	3.9977	3	49%	0	0	0
JustBuyBooks	1808.00	26	1369.0	4.1185	3.5	69%	0	0	0
etohfa	2299.00	23	1860.0	5.2369	5	100%	0	0	0
ReadAhead	539.00	213	100.0	1.2278	4	79%	0	0	0
Bookflow	539.10	3,100	100.1	1.228	3.5	68%	0	0	0
Bookswagon	1591.00	6,387	1152.0	3.6241	4	70%	0	0	0
Bookswagon	1594.00	6,387	1155.0	3.631	4	70%	0	0	0
Bookswagon	1615.00	6,387	1176.0	3.6788	4	70%	0	0	0
Sunrise Book store	1542.00	1,359	1103.0	3.5125	3.5	61%	0	0	0
Sunrise Book store	1568.00	1,359	1129.0	3.5718	3.5	61%	0	0	0
Sunrise Book store	1628.00	1,359	1189.0	3.7084	3.5	61%	0	0	0
