Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Yashoda Jagannath Books & Gifts	289.00	25	42.0	1.17	4.5	88%	0	0	0
Repro Books-On-Demand	297.00	8,429	50.0	1.2024	4.5	94%	1	0	0
Cloudtail India	297.00	1,299,225	50.0	1.2024	4.5	92%	1	1	1
BOOK CENTRE	247.00	862	0.0	1.0	4	81%	0	0	0
ALL BOOKS GALLERY	250.00	71	3.0	1.0121	4.5	93%	0	0	0
Nanhi Shop	308.00	53	61.0	1.247	3	51%	0	0	0
BPB PUBLICATIONS	330.00	112	83.0	1.336	4.5	85%	0	0	0
Universal Books House	444.00	1	197.0	1.7976	5	100%	0	0	0
B2A UK	1733.00	6,928	1486.0	7.0162	4.5	83%	0	0	0
etohfa	3040.00	23	2793.0	12.3077	5	100%	0	0	0
