Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Book,stage	839.00		0.0	1.0			0	0	0
MK BOOKS INDIA	1019.00	2,245	180.0	1.2145	2.5	34%	0	0	0
BW ENTERPRISES	935.00	44	96.0	1.1144	4	79%	0	0	1
Suryan Books	1019.00	39	180.0	1.2145	4.5	95%	0	0	0
BSK Book	1109.00	159	270.0	1.3218	3.5	60%	0	0	0
Abhinav Books Store	1079.10	60	240.1	1.2862	3	54%	0	0	0
Booksmandi	1080.00	2,530	241.0	1.2872	4.5	89%	0	0	0
Buy Amazing Books	1199.00	3,536	360.0	1.4291	3	51%	0	0	0
Browsers' Lounge	1139.00	122	300.0	1.3576	4.5	96%	0	0	0
Book store01	1199.00	11	360.0	1.4291	3	45%	0	0	0
fairdealenterprise	1199.00	41	360.0	1.4291	2.5	34%	0	0	0
Bookswagon	2198.00	6,375	1359.0	2.6198	4	70%	0	0	0
Bookwell Publication	2040.00	19	1201.0	2.4315	4.5	84%	0	0	0
Sunrise Book store	2109.00	1,356	1270.0	2.5137	3.5	61%	0	0	0
B2A UK	2506.00	6,928	1667.0	2.9869	4.5	83%	0	0	0
Sunrise Book store	2555.00	1,356	1716.0	3.0453	3.5	61%	0	0	0
INFINITE BOOKS	2781.39	282	1942.39	3.3151	5	99%	0	0	0
Fast Media 2	3100.87	6,005	2261.87	3.6959	4	72%	0	0	0
D R	4031.00	12,168	3192.0	4.8045	4	82%	0	0	0
IndieCulture	5570.99		4731.99	6.64			0	0	0
