Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	349.00	1,528	0.0	1.0	3.5	67%	0	0	0
dealstar	375.00	6,596	26.0	1.0745	4.5	85%	0	0	0
Inetrade India	403.38	3,253	54.38	1.1558	4	75%	0	0	1
Bookflow	478.50	3,100	129.5	1.3711	3.5	68%	0	0	0
ScribbleGraffito	456.50	29	107.5	1.308	4.5	91%	0	0	0
MK BOOKS INDIA	550.00	2,247	201.0	1.5759	2.5	34%	0	0	0
Atlantic Publishers and Distributors	689.00	14,538	340.0	1.9742	4.5	94%	0	0	0
Peacockbooks	745.00	2,801	396.0	2.1347	4.5	92%	0	0	0
Bookswagon	854.00	6,382	505.0	2.447	4	70%	0	0	0
Sunrise Book store	802.00	1,358	453.0	2.298	3.5	61%	0	0	0
B2A UK	1098.00	6,928	749.0	3.1461	4.5	83%	0	0	0
