Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Inetrade India	1499.00	3,258	0.0	1.0	4	75%	0	0	1
MILLENNIALS MEDIA	1630.50	44	131.5	1.0877	5	100%	0	0	0
INFINITE BOOKS	1639.80	291	140.8	1.0939	5	99%	0	0	0
Sunrise Book store	1642.00	1,360	143.0	1.0954	3.5	61%	0	0	0
Atlantic Publishers and Distributors	1598.00	14,542	99.0	1.066	4.5	94%	0	0	0
Peacockbooks	1672.00	2,803	173.0	1.1154	4.5	92%	0	0	0
Bookswagon	1821.00	6,390	322.0	1.2148	4	70%	0	0	0
SmartGlobal	1828.00	214	329.0	1.2195	3	50%	0	0	0
Fast Media 2	2261.54	6,007	762.54	1.5087	4	72%	0	0	0
D R	2484.00	12,168	985.0	1.6571	4	82%	0	0	0
Bookswagon	1851.00	6,390	352.0	1.2348	4	70%	0	0	0
Atlantic Publishers and Distributors	1868.00	14,542	369.0	1.2462	4.5	94%	0	0	0
Bookswagon	1851.00	6,390	352.0	1.2348	4	70%	0	0	0
Sunrise Book store	1722.00	1,360	223.0	1.1488	3.5	61%	0	0	0
Sunrise Book store	1757.00	1,360	258.0	1.1721	3.5	61%	0	0	0
RCPL Book$ Masion	3403.00		1904.0	2.2702			0	0	0
A STAR BOOK	5982.00	5	4483.0	3.9907	5	100%	0	0	0
