Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Aayush Book Store	201.00		0.0	1.0			0	0	0
Rosri Traders	201.00	5	0.0	1.0	3	60%	0	0	0
CFM TRADERS	204.00	4	3.0	1.0149	3	50%	0	0	1
famous_Books	279.00	4	78.0	1.3881	4.5	75%	0	0	0
ENDSEARCH	289.00	4	88.0	1.4378	4	75%	0	0	0
Shandaar Books Store	299.00	3	98.0	1.4876	3.5	67%	0	0	0
trump tech	315.00	3	114.0	1.5672	3.5	67%	0	0	0
Cloudtail India	374.00	1,299,245	173.0	1.8607	4.5	92%	1	1	0
uRead-Store	401.15	25,138	200.15	1.9958	4.5	92%	1	0	0
ApnaBazzar	499.00	49	298.0	2.4826	3.5	63%	0	0	0
Book Wise Darya Ganj	518.00	1,098	317.0	2.5771	4.5	89%	0	0	0
GPS Group	465.00		264.0	2.3134			0	0	0
Amazing_Buy	536.00	17,787	335.0	2.6667	4.5	95%	1	0	0
Inetrade India	477.87	3,254	276.87	2.3775	4	75%	0	0	0
R-our Book	524.00	1,305	323.0	2.607	4	77%	0	0	0
Sri Ganesha Books	503.00	382	302.0	2.5025	4	82%	0	0	0
FOUNTAINHEAD	503.00	98	302.0	2.5025	4.5	91%	0	0	0
O_Store	503.28	593	302.28	2.5039	4.5	87%	0	0	0
A Mind's Bookstore	510.00	1,409	309.0	2.5373	4.5	89%	0	0	0
Goodread Bookstore	510.00	579	309.0	2.5373	5	97%	0	0	0
AskTech Books	523.00	2	322.0	2.602	2.5	50%	0	0	0
RSONS	517.00	481	316.0	2.5721	4.5	84%	0	0	0
MK BOOKS INDIA	594.00	2,247	393.0	2.9552	2.5	34%	0	0	0
MONOBO BOOKS	510.00	117	309.0	2.5373	4.5	86%	0	0	0
Payal Books	499.00	657	298.0	2.4826	3	51%	0	0	0
Royal500	603.00	882	402.0	3.0	4.5	92%	0	0	0
Randomindia	538.00	9	337.0	2.6766	3.5	67%	0	0	0
S R int Store	531.24		330.24	2.643			0	0	0
ABRB	624.00	60	423.0	3.1045	4	82%	0	0	0
BW ENTERPRISES	539.00	44	338.0	2.6816	4	79%	0	0	0
The Bookhive	559.20	43	358.2	2.7821	4	80%	0	0	0
BooksRaja	535.00	171	334.0	2.6617	4.5	85%	0	0	0
Suryan Books	559.00	39	358.0	2.7811	4.5	95%	0	0	0
GBD BOOKS	559.00	232	358.0	2.7811	4	68%	0	0	0
Future Compass	559.00	32	358.0	2.7811	4.5	93%	0	0	0
V5MARK	537.00	8	336.0	2.6716	4	75%	0	0	0
Darth Vader	561.00	61	360.0	2.791	4	77%	0	0	0
Sunrise Book store	521.00	1,358	320.0	2.592	3.5	61%	0	0	0
Booknow	545.00	898	344.0	2.7114	4	80%	0	0	0
ScribbleGraffito	573.18	29	372.18	2.8516	4.5	91%	0	0	0
Rajiv Book House	520.00	371	319.0	2.5871	4.5	93%	0	0	0
Booksmandi	560.00	2,531	359.0	2.7861	4.5	89%	0	0	0
HERITAGE PUBLISHERS	664.00	783	463.0	3.3035	4.5	94%	0	0	0
Okhla Book Distributor	535.00	59	334.0	2.6617	4.5	95%	0	0	0
Resource book store	594.00	1	393.0	2.9552	5	100%	0	0	0
Book store01	649.00	14	448.0	3.2289	3.5	57%	0	0	0
Abhinav Books Store	615.12	60	414.12	3.0603	3	53%	0	0	0
The Grand_Store	660.00	10	459.0	3.2836	3	50%	0	0	0
Books-a-zillion	629.10	89	428.1	3.1299	4	82%	0	0	0
Browsers' Lounge	666.00	122	465.0	3.3134	4.5	96%	0	0	0
Maitry book Agency	600.00	139	399.0	2.9851	3.5	68%	0	0	0
Suraj Trading - Express Delivery	699.00	48	498.0	3.4776	3	53%	0	0	0
Ambe Books	738.80	2	537.8	3.6756	3	50%	0	0	0
Ginni Books	738.83	9	537.83	3.6758	4.5	89%	0	0	0
BALAJEE BOOK DISTRIBUTORS	699.00	5	498.0	3.4776	3.5	60%	0	0	0
SAI BOOKS	692.00	181	491.0	3.4428	3	46%	0	0	0
Universal Books House	999.00	1	798.0	4.9701	5	100%	0	0	0
Atlantic Publishers and Distributors	1209.00	14,538	1008.0	6.0149	4.5	94%	0	0	0
Peacockbooks	1283.00	2,801	1082.0	6.3831	4.5	92%	0	0	0
Mishika Computers	1343.00	71	1142.0	6.6816	3.5	70%	0	0	0
trump tech	320.00	3	119.0	1.592	3.5	67%	0	0	0
ApnaBazzar	499.00	49	298.0	2.4826	3.5	63%	0	0	0
RSONS	581.00	481	380.0	2.8905	4.5	84%	0	0	0
BooksRaja	557.00	171	356.0	2.7711	4.5	85%	0	0	0
Abhinav Books Store	629.10	60	428.1	3.1299	3	53%	0	0	0
Books-a-zillion	629.10	89	428.1	3.1299	4	82%	0	0	0
Sunrise Book store	699.00	1,358	498.0	3.4776	3.5	61%	0	0	0
Ambe Books	738.83	2	537.83	3.6758	3	50%	0	0	0
Ginni Books	738.90	9	537.9	3.6761	4.5	89%	0	0	0
Bookswagon	1391.00	6,382	1190.0	6.9204	4	70%	0	0	0
Books-a-zillion	699.00	89	498.0	3.4776	4	82%	0	0	0
SAI BOOKS	692.00	181	491.0	3.4428	3	46%	0	0	0
Sunrise Book store	1381.00	1,358	1180.0	6.8706	3.5	61%	0	0	0
