Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cloudtail India	302.00	1,299,229	2.0	1.0067	4.5	92%	1	1	1
Repro Books on Demand	319.00	3,418	19.0	1.0633	4.5	93%	1	0	0
Timeless Art Book Studio	300.00	918	0.0	1.0	5	96%	0	0	0
aMuse	374.00	256	74.0	1.2467	4.5	86%	1	0	0
Amazing_Buy	398.00	17,787	98.0	1.3267	4.5	95%	1	0	0
Crossword Bookstores Ltd	399.00	2,475	99.0	1.33	4	74%	0	0	0
R-our Book	374.00	1,304	74.0	1.2467	4	78%	0	0	0
Sunrise Book store	339.00	1,358	39.0	1.13	3.5	61%	0	0	0
Comma365	415.00	2,242	115.0	1.3833	4.5	95%	0	0	0
SRBOOKWORLD	459.00	404	159.0	1.53	4.5	93%	0	0	0
Amazing_Buy	399.00	17,787	99.0	1.33	4.5	95%	1	0	0
uRead-Store	468.00	25,135	168.0	1.56	4.5	92%	1	0	0
Sunrise Book store	389.00	1,358	89.0	1.2967	3.5	61%	0	0	0
HERITAGE PUBLISHERS	469.00	783	169.0	1.5633	4.5	94%	0	0	0
Skycart	409.00	479	109.0	1.3633	4.5	90%	0	0	0
RSONS	415.00	481	115.0	1.3833	4.5	84%	0	0	0
Amazing Buy	498.00	183,788	198.0	1.66	5	97%	1	0	0
BOOK CENTRE	441.00	862	141.0	1.47	4	81%	0	0	0
Books-a-zillion	449.10	89	149.1	1.497	4	82%	0	0	0
Books-a-zillion	499.00	89	199.0	1.6633	4	82%	0	0	0
Sunrise Book store	446.00	1,358	146.0	1.4867	3.5	61%	0	0	0
Books-a-zillion	499.00	89	199.0	1.6633	4	82%	0	0	0
