Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Vibrant Publishers, India	947.00	66	0.0	1.0	5	100%	1	0	1
Repro Books-On-Demand	949.00	8,433	2.0	1.0021	4.5	94%	1	0	0
Fast Media 2	1210.00	6,006	263.0	1.2777	4	72%	0	0	0
Bookswagon	1309.00	6,387	362.0	1.3823	4	70%	0	0	0
Atlantic Publishers and Distributors	1354.00	14,540	407.0	1.4298	4.5	94%	0	0	0
Peacockbooks	1313.00	2,801	366.0	1.3865	4.5	92%	0	0	0
Bookswagon	1394.00	6,387	447.0	1.472	4	70%	0	0	0
Peacockbooks	1438.00	2,801	491.0	1.5185	4.5	92%	0	0	0
B2A UK	1650.00	6,928	703.0	1.7423	4.5	83%	0	0	0
ALL INDIA BOOK STORE	1786.00	9	839.0	1.886	3.5	67%	0	0	0
Fast Media 2	2246.36	6,006	1299.36	2.3721	4	72%	0	0	0
