Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Monika Books House	195.00		0.0	1.0			0	0	0
Read factor	197.00	1,546	2.0	1.0103	3.5	67%	0	0	0
Buy Amazing Books	203.00	3,572	8.0	1.041	3	52%	0	0	0
Amazing_Buy	257.00	17,791	62.0	1.3179	4.5	95%	1	0	0
uRead-Store	257.00	25,160	62.0	1.3179	4.5	92%	1	0	1
Bookflow	260.13	3,100	65.13	1.334	3.5	68%	0	0	0
Inetrade India	195.66	3,258	0.66	1.0034	4	75%	0	0	0
SachinVentures	274.00	6	79.0	1.4051	4.5	83%	0	0	0
BOOKFACTORY	221.00	6	26.0	1.1333	3.5	67%	0	0	0
Mumbai gift corner	284.00	728	89.0	1.4564	4.5	90%	0	0	0
killer,sbooks	287.00	18	92.0	1.4718	5	100%	0	0	0
Sri Ganesha Books	215.00	382	20.0	1.1026	4	82%	0	0	0
MK BOOKS INDIA	299.00	2,249	104.0	1.5333	2.5	34%	0	0	0
Book Wise Darya Ganj	299.00	1,100	104.0	1.5333	4.5	89%	0	0	0
ABRB	249.00	60	54.0	1.2769	4	82%	0	0	0
BSK Book	289.00	160	94.0	1.4821	3.5	60%	0	0	0
Darth Vader	242.00	61	47.0	1.241	4	77%	0	0	0
Suryan Books	239.00	39	44.0	1.2256	4.5	95%	0	0	0
CrossWord Books	275.00	116	80.0	1.4103	5	95%	0	0	0
ScribbleGraffito	248.17	29	53.17	1.2727	4.5	91%	0	0	0
Skycart	254.00	479	59.0	1.3026	4.5	90%	0	0	0
JAYA	252.00	14	57.0	1.2923	4	71%	0	0	0
BOOKKR	299.00	5	104.0	1.5333	3.5	60%	0	0	0
Abhinav Books Store	275.08	60	80.08	1.4107	3	53%	0	0	0
Booknow	233.00	898	38.0	1.1949	4	80%	0	0	0
V5MARK	239.00	8	44.0	1.2256	4	75%	0	0	0
Okhla Book Distributor	214.00	60	19.0	1.0974	4.5	95%	0	0	0
S B T books	276.00	113	81.0	1.4154	4.5	88%	0	0	0
W S Retaill	276.00	34	81.0	1.4154	3.5	68%	0	0	0
BookInc	279.00	17	84.0	1.4308	4.5	94%	0	0	0
Book store01	329.00	14	134.0	1.6872	3.5	57%	0	0	0
Browsers' Lounge	288.00	122	93.0	1.4769	4.5	96%	0	0	0
Amazing BookS	239.00	106	44.0	1.2256	3	54%	0	0	0
BOOK CENTRE	293.00	862	98.0	1.5026	4	81%	0	0	0
SN Square	329.00	59	134.0	1.6872	4	75%	0	0	0
A to Z Book House	299.00	1,275	104.0	1.5333	3	45%	0	0	0
KUNDAN BOOK DISTRIBUTORS	299.00	17	104.0	1.5333	3.5	71%	0	0	0
VNSstores	299.00	33	104.0	1.5333	3.5	61%	0	0	0
Books-a-zillion	299.00	89	104.0	1.5333	4	82%	0	0	0
Ambe Books	361.12	2	166.12	1.8519	3	50%	0	0	0
CrossWord Books	275.00	116	80.0	1.4103	5	95%	0	0	0
Ginni Books	361.12	9	166.12	1.8519	4.5	89%	0	0	0
Ginni Books	361.19	9	166.19	1.8523	4.5	89%	0	0	0
SAI BOOKS	296.00	181	101.0	1.5179	3	46%	0	0	0
