Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	395.00	1,528	0.0	1.0	3.5	67%	0	0	0
Trans Infopreneur Inc	418.00	218	23.0	1.0582	4.5	94%	1	0	1
O_Store	431.28	593	36.28	1.0918	4.5	87%	0	0	0
Inetrade India	445.82	3,253	50.82	1.1287	4	75%	0	0	0
Repro Books-On-Demand	533.00	8,429	138.0	1.3494	4.5	94%	1	0	0
MK BOOKS INDIA	553.00	2,247	158.0	1.4	2.5	34%	0	0	0
Goodread Bookstore	572.00	579	177.0	1.4481	5	97%	1	0	0
uRead-Store	572.00	25,136	177.0	1.4481	4.5	92%	1	0	0
Booknow	467.00	898	72.0	1.1823	4	80%	0	0	0
siddharth books	500.00	51	105.0	1.2658	2.5	36%	0	0	0
Book Wise Darya Ganj	581.00	1,098	186.0	1.4709	4.5	89%	0	0	0
The Bookhive	520.00	43	125.0	1.3165	4	80%	0	0	0
Suryan Books	520.00	39	125.0	1.3165	4.5	95%	0	0	0
killer,sbooks	599.00	18	204.0	1.5165	5	100%	0	0	0
Okhla Book Distributor	470.00	59	75.0	1.1899	4.5	95%	0	0	0
ScribbleGraffito	539.50	29	144.5	1.3658	4.5	91%	0	0	0
Resource book store	553.00	1	158.0	1.4	5	100%	0	0	0
Darth Vader	547.00	61	152.0	1.3848	4	77%	0	0	0
Amazing BookS	520.00	106	125.0	1.3165	3	54%	0	0	0
fairdealenterprise	500.50	44	105.5	1.2671	2	27%	0	0	0
Trans Infopreneur Inc	419.00	218	24.0	1.0608	4.5	94%	0	0	1
Best Price_	599.00	224	204.0	1.5165	4	82%	0	0	0
BookInc	605.00	17	210.0	1.5316	4.5	94%	0	0	0
BOOKKR	650.00	5	255.0	1.6456	3.5	60%	0	0	0
Payal Books	599.00	657	204.0	1.5165	3	51%	0	0	0
ReproIndia	650.00	924	255.0	1.6456	4	79%	0	0	0
Bookswagon	641.00	6,382	246.0	1.6228	4	70%	0	0	0
Books-a-zillion	650.00	89	255.0	1.6456	4	82%	0	0	0
SAI BOOKS	593.00	181	198.0	1.5013	3	46%	0	0	0
W S Retaill	553.00	34	158.0	1.4	3.5	68%	0	0	0
