Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cloudtail India	590.00	1,299,311	50.0	1.0926	4.5	92%	1	1	1
Book_loot	590.00	2	50.0	1.0926	5	100%	0	0	0
MK BOOKS INDIA	594.00	2,249	54.0	1.1	2.5	34%	0	0	0
ScribbleGraffito	540.00	29	0.0	1.0	4.5	91%	0	0	0
SRBOOKWORLD	649.00	404	109.0	1.2019	4.5	93%	0	0	0
Inetrade India	586.89	3,257	46.89	1.0868	4	75%	0	0	0
Bookflow	719.10	3,100	179.1	1.3317	3.5	68%	0	0	0
EXCELLENT BOOK SERVICE	545.00	12	5.0	1.0093	3	50%	0	0	0
The Grand_Store	660.00	10	120.0	1.2222	3	50%	0	0	0
Books-a-zillion	719.10	89	179.1	1.3317	4	82%	0	0	0
SAI BOOKS	692.00	181	152.0	1.2815	3	46%	0	0	0
ROSHAN COLLECTION	778.92		238.92	1.4424			0	0	0
Atlantic Publishers and Distributors	1281.00	14,541	741.0	2.3722	4.5	94%	0	0	0
Peacockbooks	1355.00	2,801	815.0	2.5093	4.5	92%	0	0	0
B2A UK	1693.00	6,928	1153.0	3.1352	4.5	83%	0	0	0
