Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Repro Books-On-Demand	919.00	8,427	0.0	1.0	4.5	94%	1	0	0
Cloudtail India	919.00	1,299,184	0.0	1.0	4.5	92%	1	1	1
ReproIndia	919.00	924	0.0	1.0	4	79%	0	0	0
CAMPUS BOOK HOUSE INDIAN INTITUTE OF SCIENCE TBH	990.00	218	71.0	1.0773	5	97%	0	0	0
Fast Media 2	1138.38	6,005	219.38	1.2387	4	72%	0	0	0
Atlantic Publishers and Distributors	1078.00	14,538	159.0	1.173	4.5	94%	0	0	0
Peacockbooks	1129.00	2,801	210.0	1.2285	4.5	92%	0	0	0
Bookswagon	1148.00	6,379	229.0	1.2492	4	70%	0	0	0
T B	1131.97	64	212.97	1.2317	4.5	93%	0	0	0
B2A UK	1378.00	6,928	459.0	1.4995	4.5	83%	0	0	0
Atlantic Publishers and Distributors	1177.00	14,538	258.0	1.2807	4.5	94%	0	0	0
Bookswagon	1223.00	6,379	304.0	1.3308	4	70%	0	0	0
Sunrise Book store	1235.00	1,356	316.0	1.3439	3.5	61%	0	0	0
SmartGlobal	1885.00	212	966.0	2.0511	3	50%	0	0	0
D R	2060.00	12,168	1141.0	2.2416	4	82%	0	0	0
etohfa	2422.00	23	1503.0	2.6355	5	100%	0	0	0
