Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
ABSSV BOOKS WORLD	392.97	25	70.03	1.2169	4	72%	0	0	1
Rk & company	322.94	36	0.0	1.0	3.5	65%	0	0	0
Everydaybookcentre	405.00	3	82.06	1.2541	5	100%	0	0	0
URMILA BOOK DISTRIBUTORS	350.00	28	27.06	1.0838	4	84%	0	0	0
uRead-Store	522.00	25,138	199.06	1.6164	4.5	92%	1	0	0
BooksNinetyNine	487.00	45	164.06	1.508	5	97%	0	0	0
World500	535.00	3,267	212.06	1.6567	4	76%	0	0	0
BooksNinetyNine	517.00	45	194.06	1.6009	5	97%	0	0	0
Amazing_Buy	558.00	17,787	235.06	1.7279	4.5	95%	1	0	0
Buy Amazing Books	559.00	3,555	236.06	1.731	3	51%	0	0	0
Capsbookz	599.00		276.06	1.8548			0	0	0
Best Price_	530.00	224	207.06	1.6412	4	82%	0	0	0
Inetrade India	543.28	3,254	220.34	1.6823	4	75%	0	0	0
BooksStation	639.00		316.06	1.9787			0	0	0
Book,stage	639.00		316.06	1.9787			0	0	0
BOOKFACTRY	639.00	1	316.06	1.9787	5	100%	0	0	0
FOUNTAINHEAD	575.00	98	252.06	1.7805	4.5	91%	0	0	0
Sri Ganesha Books	575.00	382	252.06	1.7805	4	82%	0	0	0
AskTech Books	610.00	2	287.06	1.8889	2.5	50%	0	0	0
MK BOOKS INDIA	679.00	2,247	356.06	2.1026	2.5	34%	0	0	0
Comma365	646.00	2,242	323.06	2.0004	4.5	95%	0	0	0
Royal500	699.00	882	376.06	2.1645	4.5	92%	0	0	0
The Bookhive	639.20	43	316.26	1.9793	4	80%	0	0	0
Suryan Books	639.00	39	316.06	1.9787	4.5	95%	0	0	0
BW ENTERPRISES	623.00	44	300.06	1.9292	4	79%	0	0	0
ReadAhead	719.00	213	396.06	2.2264	4	79%	0	0	0
fairdealenterprise	615.23	44	292.29	1.9051	2	27%	0	0	0
S B T books	737.00	113	414.06	2.2822	4.5	88%	0	0	0
W S Retaill	737.00	34	414.06	2.2822	3.5	68%	0	0	0
Mumbai gift corner	759.00	720	436.06	2.3503	4.5	89%	0	0	0
HERITAGE PUBLISHERS	759.00	783	436.06	2.3503	4.5	94%	0	0	0
Amazing BookS	639.00	106	316.06	1.9787	3	54%	0	0	0
BSK Book	749.00	160	426.06	2.3193	3.5	61%	0	0	0
CrossWord Books	735.00	116	412.06	2.276	5	95%	0	0	0
BOOK CENTRE	715.00	862	392.06	2.214	4	81%	0	0	0
Book store01	779.00	14	456.06	2.4122	3.5	57%	0	0	0
BookInc	744.00	17	421.06	2.3038	4.5	94%	0	0	0
BOOKKR	799.00	5	476.06	2.4741	3.5	60%	0	0	0
Browsers' Lounge	765.00	122	442.06	2.3689	4.5	96%	0	0	0
A to Z Book House	799.00	1,275	476.06	2.4741	3	46%	0	0	0
Rk & company	349.00	36	26.06	1.0807	3.5	65%	0	0	0
Rk & company	359.00	36	36.06	1.1117	3.5	65%	0	0	0
Booksmandi	799.00	2,531	476.06	2.4741	4.5	89%	0	0	0
SN Square	879.00	59	556.06	2.7219	4	75%	0	0	0
Bookswagon	1254.00	6,382	931.06	3.8831	4	70%	0	0	0
Sunrise Book store	1367.00	1,358	1044.06	4.233	3.5	61%	0	0	0
Sunrise Book store	1217.00	1,358	894.06	3.7685	3.5	61%	0	0	0
