Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	209.00	1,528	13.34	1.0682	3.5	67%	0	0	0
Bookflow	266.11	3,100	70.45	1.3601	3.5	68%	0	0	1
Inetrade India	195.66	3,253	0.0	1.0	4	75%	0	0	0
Sunrise Book store	250.00	1,358	54.34	1.2777	3.5	61%	0	0	0
O_Store	254.15	593	58.49	1.2989	4.5	87%	0	0	0
Ginni Books	361.12	9	165.46	1.8457	4.5	89%	0	0	0
Ambe Books	361.12	2	165.46	1.8457	3	50%	0	0	0
