Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
dealstar	251.00	6,601	0.0	1.0	4.5	85%	0	0	0
Read factor	395.00	1,532	144.0	1.5737	3.5	67%	0	0	0
World500	407.00	3,276	156.0	1.6215	4	76%	0	0	0
Amazing_Buy	455.00	17,789	204.0	1.8127	4.5	95%	1	0	0
uRead-Store	455.00	25,150	204.0	1.8127	4.5	92%	1	0	1
Inetrade India	391.89	3,254	140.89	1.5613	4	75%	0	0	0
AskTech Books	451.00	2	200.0	1.7968	2.5	50%	0	0	0
MONOBO BOOKS	437.00	117	186.0	1.741	4.5	86%	0	0	0
Book Selection Centre	449.00	136	198.0	1.7888	4.5	96%	0	0	0
ReadAhead	539.00	213	288.0	2.1474	4	79%	0	0	0
Bookflow	539.10	3,100	288.1	2.1478	3.5	68%	0	0	0
Comma365	505.00	2,242	254.0	2.012	4.5	95%	0	0	0
Royal500	546.00	882	295.0	2.1753	4.5	92%	0	0	0
The Bookhive	479.20	43	228.2	1.9092	4	80%	0	0	0
GBD BOOKS	479.00	232	228.0	1.9084	4	68%	0	0	0
BW ENTERPRISES	467.00	44	216.0	1.8606	4	79%	0	0	0
HERITAGE PUBLISHERS	569.00	783	318.0	2.2669	4.5	94%	0	0	0
Booknow	467.00	898	216.0	1.8606	4	80%	0	0	0
RSONS	498.00	481	247.0	1.9841	4.5	84%	0	0	0
ScribbleGraffito	497.17	29	246.17	1.9808	4.5	91%	0	0	0
Booksmandi	480.00	2,531	229.0	1.9124	4.5	89%	0	0	0
Suraj Trading - Express Delivery	487.00	48	236.0	1.9402	3	53%	0	0	0
BSK Book	564.00	160	313.0	2.247	3.5	61%	0	0	0
Buy Amazing Books	599.00	3,558	348.0	2.3865	3	51%	0	0	0
Santusti Enterprises	599.00	26	348.0	2.3865	4	81%	0	0	0
CrossWord Books	551.00	116	300.0	2.1952	5	95%	0	0	0
S B T books	557.00	113	306.0	2.2191	4.5	88%	0	0	0
W S Retaill	553.00	34	302.0	2.2032	3.5	68%	0	0	0
Shreeganesh16	531.00	27	280.0	2.1155	4.5	83%	0	0	0
GBD Publishers	509.00	47	258.0	2.0279	4	79%	0	0	0
BookInc	540.00	17	289.0	2.1514	4.5	94%	0	0	0
CNA Bookstore	499.00	477	248.0	1.988	4.5	95%	0	0	0
Book store01	599.00	14	348.0	2.3865	3.5	57%	0	0	0
BOOKKR	599.00	5	348.0	2.3865	3.5	60%	0	0	0
DARPAN	599.00	33	348.0	2.3865	4.5	85%	0	0	0
Browsers' Lounge	576.00	122	325.0	2.2948	4.5	96%	0	0	0
PRISM ONLINE	599.00	62	348.0	2.3865	4	68%	0	0	0
Rajiv Book House	540.00	371	289.0	2.1514	4.5	93%	0	0	0
A to Z Book House	599.00	1,275	348.0	2.3865	3	46%	0	0	0
PKS RETAIL	762.00	4	511.0	3.0359	5	100%	0	0	0
ReadAhead	539.00	213	288.0	2.1474	4	79%	0	0	0
SAI BOOKS	599.00	181	348.0	2.3865	3	46%	0	0	0
Bookswagon	751.00	6,387	500.0	2.992	4	70%	0	0	0
Sunrise Book store	802.00	1,359	551.0	3.1952	3.5	61%	0	0	0
Ambe Books	858.10	2	607.1	3.4187	3	50%	0	0	0
Ginni Books	858.10	9	607.1	3.4187	4.5	89%	0	0	0
MK BOOKS INDIA	1090.00	2,249	839.0	4.3426	2.5	34%	0	0	0
B2A UK	1166.00	6,928	915.0	4.6454	4.5	83%	0	0	0
etohfa	2328.00	23	2077.0	9.2749	5	100%	0	0	0
D R	2415.00	12,169	2164.0	9.6215	4	82%	0	0	0
Bookflow	539.10	3,100	288.1	2.1478	3.5	68%	0	0	0
CrossWord Books	551.00	116	300.0	2.1952	5	95%	0	0	0
BSK Book	589.00	160	338.0	2.3466	3.5	61%	0	0	0
DARPAN	599.00	33	348.0	2.3865	4.5	85%	0	0	0
Bookswagon	854.00	6,387	603.0	3.4024	4	70%	0	0	0
Ginni Books	858.17	9	607.17	3.419	4.5	89%	0	0	0
