Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
uRead-Store	1170.00	25,136	0.0	1.0	4.5	92%	1	0	0
Cloudtail India	1170.00	1,299,236	0.0	1.0	4.5	92%	1	1	1
Bookswagon	1405.00	6,382	235.0	1.2009	4	70%	0	0	0
Bookswagon	1428.00	6,382	258.0	1.2205	4	70%	0	0	0
Sunrise Book store	1322.00	1,358	152.0	1.1299	3.5	61%	0	0	0
Sunrise Book store	1511.00	1,358	341.0	1.2915	3.5	61%	0	0	0
SmartGlobal	1564.00	212	394.0	1.3368	3	50%	0	0	0
Fast Media 2	1684.56	6,006	514.56	1.4398	4	72%	0	0	0
D R	2131.00	12,168	961.0	1.8214	4	82%	0	0	0
etohfa	2882.00	23	1712.0	2.4632	5	100%	0	0	0
Bookswagon	1405.00	6,382	235.0	1.2009	4	70%	0	0	0
Bookswagon	1470.00	6,382	300.0	1.2564	4	70%	0	0	0
Sunrise Book store	1339.00	1,358	169.0	1.1444	3.5	61%	0	0	0
Bookswagon	1738.00	6,382	568.0	1.4855	4	70%	0	0	0
Sunrise Book store	1679.00	1,358	509.0	1.435	3.5	61%	0	0	0
