Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
uRead-Store	986.00	25,138	0.0	1.0	4.5	92%	1	0	1
Cloudtail India	987.00	1,299,238	1.0	1.001	4.5	92%	1	1	0
Bookswagon	1146.00	6,382	160.0	1.1623	4	70%	0	0	0
Peacockbooks	1182.00	2,801	196.0	1.1988	4.5	92%	0	0	0
Sunrise Book store	1325.00	1,358	339.0	1.3438	3.5	61%	0	0	0
Atlantic Publishers and Distributors	1339.00	14,538	353.0	1.358	4.5	94%	0	0	0
B2A UK	1497.00	6,928	511.0	1.5183	4.5	83%	0	0	0
Fast Media 2	1767.06	6,006	781.06	1.7922	4	72%	0	0	0
SmartGlobal	1783.00	212	797.0	1.8083	3	50%	0	0	0
D R	2166.00	12,168	1180.0	2.1968	4	82%	0	0	0
Bookswagon	1318.00	6,382	332.0	1.3367	4	70%	0	0	0
etohfa	2614.00	23	1628.0	2.6511	5	100%	0	0	0
