Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cloudtail India	176.00	1,299,242	8.9	1.0533	4.5	92%	1	1	1
Inetrade India	167.10	3,254	0.0	1.0	4	75%	0	0	0
Best Price_	275.00	224	107.9	1.6457	4	82%	0	0	0
Book store01	305.00	14	137.9	1.8253	3.5	57%	0	0	0
Browsers' Lounge	270.00	122	102.9	1.6158	4.5	96%	0	0	0
star Book House Hyd	275.00	73	107.9	1.6457	3.5	61%	0	0	0
A to Z Book House	275.00	1,275	107.9	1.6457	3	46%	0	0	0
Booksmandi	275.00	2,531	107.9	1.6457	4.5	89%	0	0	0
BOOK CENTRE	287.00	862	119.9	1.7175	4	81%	0	0	0
Ambe Books	340.44	2	173.34	2.0373	3	50%	0	0	0
Ginni Books	340.44	9	173.34	2.0373	4.5	89%	0	0	0
famous_Books	499.00	4	331.9	2.9862	4.5	75%	0	0	0
Atlantic Publishers and Distributors	594.00	14,538	426.9	3.5548	4.5	94%	0	0	0
Peacockbooks	649.00	2,801	481.9	3.8839	4.5	92%	0	0	0
NMBD	695.00	16	527.9	4.1592	3.5	69%	0	0	0
B2A UK	1087.00	6,928	919.9	6.5051	4.5	83%	0	0	0
