Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Rachna Associate	699.00		0.0	1.0			0	0	0
Read factor	825.00	1,532	126.0	1.1803	3.5	67%	0	0	0
World500	838.00	3,271	139.0	1.1989	4	76%	0	0	0
Amazing_Buy	839.00	17,789	140.0	1.2003	4.5	95%	1	0	1
uRead-Store	844.00	25,145	145.0	1.2074	4.5	92%	1	0	0
Kozzy Books	750.00	6	51.0	1.073	5	100%	0	0	0
BOOKFACTRY	1000.00	1	301.0	1.4306	5	100%	0	0	0
Book,stage	1000.00		301.0	1.4306			0	0	0
R-our Book	937.00	1,305	238.0	1.3405	4	77%	0	0	0
Randomindia	963.00	9	264.0	1.3777	3.5	67%	0	0	0
Book Selection Centre	925.00	136	226.0	1.3233	4.5	96%	0	0	0
RSONS	974.00	481	275.0	1.3934	4.5	84%	0	0	0
Buy Amazing Books	1050.00	3,557	351.0	1.5021	3	51%	0	0	0
MK BOOKS INDIA	1063.00	2,249	364.0	1.5207	2.5	34%	0	0	0
BW ENTERPRISES	975.00	44	276.0	1.3948	4	79%	0	0	0
The Bookhive	1000.00	43	301.0	1.4306	4	80%	0	0	0
Skycart	1000.00	479	301.0	1.4306	4.5	90%	0	0	0
BooksRaja	975.00	171	276.0	1.3948	4.5	85%	0	0	0
Booknow	975.00	898	276.0	1.3948	4	80%	0	0	0
Bookflow	1087.50	3,100	388.5	1.5558	3.5	68%	0	0	0
Inetrade India	1036.45	3,254	337.45	1.4828	4	75%	0	0	0
fairdealenterprise	962.50	45	263.5	1.377	2	25%	0	0	0
Comma365	1077.00	2,242	378.0	1.5408	4.5	95%	0	0	0
Winmaarc	1117.00	118	418.0	1.598	3.5	68%	0	0	0
Sunrise Book store	924.00	1,359	225.0	1.3219	3.5	61%	0	0	0
ReadAhead	1124.90	213	425.9	1.6093	4	79%	0	0	0
ABRB	1125.00	60	426.0	1.6094	4	82%	0	0	0
Amazing BookS	1000.00	106	301.0	1.4306	3	54%	0	0	0
Resource book store	1060.00	1	361.0	1.5165	5	100%	0	0	0
Suryan Books	1063.00	39	364.0	1.5207	4.5	95%	0	0	0
Wish Your Book	1062.50		363.5	1.52			0	0	0
S B T books	1154.00	113	455.0	1.6509	4.5	88%	0	0	0
W S Retaill	1154.00	34	455.0	1.6509	3.5	68%	0	0	0
HERITAGE PUBLISHERS	1175.00	783	476.0	1.681	4.5	94%	0	0	0
ScribbleGraffito	1025.00	29	326.0	1.4664	4.5	91%	0	0	0
Book store01	1150.00	14	451.0	1.6452	3.5	57%	0	0	0
BSK Book	1160.00	160	461.0	1.6595	3.5	61%	0	0	0
Mumbai gift corner	1188.00	720	489.0	1.6996	4.5	89%	0	0	0
Abhinav Books Store	1100.00	60	401.0	1.5737	3	53%	0	0	0
Shreeganesh16	1120.00	27	421.0	1.6023	4.5	83%	0	0	0
NS DISTRIBUTOR	1165.00	7	466.0	1.6667	4	86%	0	0	0
Booksmandi	1125.00	2,531	426.0	1.6094	4.5	89%	0	0	0
Books-a-zillion	1125.00	89	426.0	1.6094	4	82%	0	0	0
BookInc	1163.00	17	464.0	1.6638	4.5	94%	0	0	0
Goodread Bookstore	1250.00	579	551.0	1.7883	5	97%	1	0	0
Santusti Enterprises	1250.00	26	551.0	1.7883	4	81%	0	0	0
killer,sbooks	1250.00	18	551.0	1.7883	5	100%	0	0	0
Browsers' Lounge	1187.00	122	488.0	1.6981	4.5	96%	0	0	0
Kushii Radiance Bookshop	1188.00	63	489.0	1.6996	4.5	84%	0	0	0
BOOKKR	1250.00	5	551.0	1.7883	3.5	60%	0	0	0
Bookflow	1125.00	3,100	426.0	1.6094	3.5	68%	0	0	0
ReadAhead	1125.00	213	426.0	1.6094	4	79%	0	0	0
ScribbleGraffito	1037.50	29	338.5	1.4843	4.5	91%	0	0	0
Ambe Books	1180.32	2	481.32	1.6886	3	50%	0	0	0
Ginni Books	1180.42	9	481.42	1.6887	4.5	89%	0	0	0
A to Z Book House	1250.00	1,275	551.0	1.7883	3	46%	0	0	0
SN Square	1375.00	59	676.0	1.9671	4	75%	0	0	0
SAI BOOKS	1237.00	181	538.0	1.7697	3	46%	0	0	0
Bookswagon	2031.00	6,387	1332.0	2.9056	4	70%	0	0	0
Fast Media 2	2460.62	6,006	1761.62	3.5202	4	72%	0	0	0
Bookflow	1125.00	3,100	426.0	1.6094	3.5	68%	0	0	0
Abhinav Books Store	1125.00	60	426.0	1.6094	3	53%	0	0	0
fairdealenterprise	1250.00	45	551.0	1.7883	2	25%	0	0	0
Bookswagon	2322.00	6,387	1623.0	3.3219	4	70%	0	0	0
Sunrise Book store	2219.00	1,359	1520.0	3.1745	3.5	61%	0	0	0
