Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	461.00	1,516	0.0	1.0	3.5	67%	0	0	0
World500	475.00	3,248	14.0	1.0304	4	76%	0	0	0
Pillbooks	524.00		63.0	1.1367			0	0	0
MK BOOKS INDIA	594.00	2,245	133.0	1.2885	2.5	34%	0	0	0
AskTech Books	523.00	2	62.0	1.1345	2.5	50%	0	0	0
Amazing_Buy	596.48	17,781	135.48	1.2939	4.5	95%	1	0	1
Inetrade India	521.48	3,249	60.48	1.1312	4	75%	0	0	0
Comma365	576.00	2,242	115.0	1.2495	4.5	95%	0	0	0
Goodread Bookstore	629.00	579	168.0	1.3644	5	97%	1	0	0
ReadAhead	629.00	213	168.0	1.3644	4	79%	0	0	0
Bookflow	629.10	3,100	168.1	1.3646	3.5	67%	0	0	0
The Bookhive	559.20	43	98.2	1.213	4	80%	0	0	0
Book Selection Centre	560.00	136	99.0	1.2148	4.5	96%	0	0	0
Skycart	580.00	479	119.0	1.2581	4.5	90%	0	0	0
BSK Book	659.00	159	198.0	1.4295	3.5	60%	0	0	0
ScribbleGraffito	580.17	29	119.17	1.2585	4.5	91%	0	0	0
Mumbai gift corner	664.00	717	203.0	1.4403	4.5	90%	0	0	0
HERITAGE PUBLISHERS	664.00	783	203.0	1.4403	4.5	94%	0	0	0
Browsers' Lounge	559.20	122	98.2	1.213	4.5	96%	0	0	0
Sunrise Book store	542.00	1,356	81.0	1.1757	3.5	61%	0	0	0
O_Store	524.25	593	63.25	1.1372	4.5	87%	0	0	0
Booksmandi	560.00	2,530	99.0	1.2148	4.5	89%	0	0	0
CrossWord Books	643.00	116	182.0	1.3948	5	95%	0	0	0
S B T books	645.00	113	184.0	1.3991	4.5	88%	0	0	0
W S Retaill	645.00	34	184.0	1.3991	3.5	69%	0	0	0
Shreeganesh16	623.00	27	162.0	1.3514	4.5	83%	0	0	0
Buy Amazing Books	699.00	3,536	238.0	1.5163	3	51%	0	0	0
Santusti Enterprises	699.00	26	238.0	1.5163	4	81%	0	0	0
Book store01	679.00	11	218.0	1.4729	3	45%	0	0	0
MEETA BOOKS	629.00	47	168.0	1.3644	2.5	36%	0	0	0
BW ENTERPRISES	545.00	44	84.0	1.1822	4	79%	0	0	0
BOOKKR	699.00	5	238.0	1.5163	3.5	60%	0	0	0
A to Z Book House	699.00	1,275	238.0	1.5163	3	46%	0	0	0
SN Square	769.00	59	308.0	1.6681	4	75%	0	0	0
ROSHAN COLLECTION	778.92		317.92	1.6896			0	0	0
Global Book Store	999.00	623	538.0	2.167	5	99%	0	0	0
Ebookstore	1095.00	522	634.0	2.3753	4.5	85%	0	0	0
Bookswagon	1613.00	6,375	1152.0	3.4989	4	70%	0	0	0
INFINITE BOOKS	1713.16	282	1252.16	3.7162	5	99%	0	0	0
B2A UK	1931.00	6,928	1470.0	4.1887	4.5	83%	0	0	0
ReadAhead	629.00	213	168.0	1.3644	4	79%	0	0	0
Bookflow	629.10	3,100	168.1	1.3646	3.5	67%	0	0	0
CrossWord Books	643.00	116	182.0	1.3948	5	95%	0	0	0
Sunrise Book store	1608.00	1,356	1147.0	3.4881	3.5	61%	0	0	0
Bookswagon	1855.00	6,375	1394.0	4.0239	4	70%	0	0	0
Bookswagon	1845.00	6,375	1384.0	4.0022	4	70%	0	0	0
Sunrise Book store	1751.00	1,356	1290.0	3.7983	3.5	61%	0	0	0
Sunrise Book store	1761.00	1,356	1300.0	3.82	3.5	61%	0	0	0
Sunrise Book store	1953.00	1,356	1492.0	4.2364	3.5	61%	0	0	0
