Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
PK Textbooks	237.00	31	0.0	1.0	3.5	61%	0	0	0
Infinity Books- Fast Delivery	345.00	171	108.0	1.4557	3.5	66%	0	0	0
Manav Books	350.00	1,855	113.0	1.4768	4	78%	1	0	1
OLD IS GOLD BOOK'S	286.00	64	49.0	1.2068	3	56%	0	0	0
Cloudtail India	452.00	1,299,158	215.0	1.9072	4.5	92%	1	1	0
STUDENT'S NEED	450.00	12	213.0	1.8987	3.5	67%	0	0	0
JBCPD	634.00	32,617	397.0	2.6751	4.5	93%	1	0	0
uRead-Store	691.00	25,127	454.0	2.9156	4.5	92%	1	0	0
MBD Books	673.00	16	436.0	2.8397	4	81%	0	0	0
Books-HUB	651.00	1,299	414.0	2.7468	4.5	85%	0	0	0
Rama BOOKS	667.80	6	430.8	2.8177	3.5	67%	0	0	0
Pisces_Books	650.00	102	413.0	2.7426	4	80%	0	0	0
O_Store	651.90	593	414.9	2.7506	4.5	87%	0	0	0
BooksRaja	719.00	171	482.0	3.0338	4.5	85%	0	0	0
Sunrise Book store	695.00	1,356	458.0	2.9325	3.5	61%	0	0	0
V5MARK	727.00	8	490.0	3.0675	4	75%	0	0	0
MANJU INTERNATIONAL	795.00	86	558.0	3.3544	4	79%	0	0	0
Manila Books Services	795.00	13	558.0	3.3544	4.5	92%	0	0	0
Books-a-zillion	795.00	89	558.0	3.3544	4	82%	0	0	0
SAI BOOKS	787.00	181	550.0	3.3207	3	46%	0	0	0
PK Textbooks	237.00	31	0.0	1.0	3.5	61%	0	0	0
SAI BOOKS	787.00	181	550.0	3.3207	3	46%	0	0	0
The Grand_Store	870.00	10	633.0	3.6709	3	50%	0	0	0
Ebookstore	1058.00	522	821.0	4.4641	4.5	85%	0	0	0
Book eHub	1098.00	32	861.0	4.6329	4	74%	0	0	0
ASIAN TREASURES	1135.00	18	898.0	4.789	4.5	94%	0	0	0
Speedy_Books	1268.00	489	1031.0	5.3502	4.5	80%	0	0	0
Amazing Publications & Distributing Network	2275.00	18	2038.0	9.5992	5	100%	0	0	0
