Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
World500	475.00	3,248	0.0	1.0	4	76%	0	0	0
Amazing_Buy	629.00	17,781	154.0	1.3242	4.5	95%	1	0	0
uRead-Store	629.00	25,127	154.0	1.3242	4.5	92%	1	0	1
Bookswagon	793.00	6,375	318.0	1.6695	4	70%	0	0	0
JustBuyBooks	788.00	26	313.0	1.6589	3.5	69%	0	0	0
Sunrise Book store	755.00	1,356	280.0	1.5895	3.5	61%	0	0	0
B2A UK	1181.00	6,928	706.0	2.4863	4.5	83%	0	0	0
INFINITE BOOKS	1359.03	282	884.03	2.8611	5	99%	0	0	0
CB-India	1296.00	3,033	821.0	2.7284	4.5	95%	0	0	0
Fast Media 2	1676.12	6,005	1201.12	3.5287	4	72%	0	0	0
Bookswagon	797.00	6,375	322.0	1.6779	4	70%	0	0	0
Sunrise Book store	795.00	1,356	320.0	1.6737	3.5	61%	0	0	0
Bookswagon	1167.00	6,375	692.0	2.4568	4	70%	0	0	0
Bookswagon	1269.00	6,375	794.0	2.6716	4	70%	0	0	0
Sunrise Book store	1162.00	1,356	687.0	2.4463	3.5	61%	0	0	0
Bookswagon	1374.00	6,375	899.0	2.8926	4	70%	0	0	0
Sunrise Book store	1238.00	1,356	763.0	2.6063	3.5	61%	0	0	0
Sunrise Book store	1343.00	1,356	868.0	2.8274	3.5	61%	0	0	0
