Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
uRead-Store	170.00	25,135	19.25	1.1277	4.5	92%	1	0	1
Buy Amazing Books	170.00	3,554	19.25	1.1277	3	51%	0	0	0
World500	170.00	3,268	19.25	1.1277	4	76%	0	0	0
Bookflow	225.00	3,100	74.25	1.4925	3.5	67%	0	0	0
ReadAhead	225.00	213	74.25	1.4925	4	79%	0	0	0
Inetrade India	150.75	3,253	0.0	1.0	4	75%	0	0	0
SachinVentures	238.00	6	87.25	1.5788	4.5	83%	0	0	0
BSK Book	240.00	159	89.25	1.592	3.5	60%	0	0	0
MK BOOKS INDIA	250.00	2,247	99.25	1.6584	2.5	34%	0	0	0
FOUNTAINHEAD	180.00	98	29.25	1.194	4.5	91%	0	0	0
Book store01	230.00	11	79.25	1.5257	3	45%	0	0	0
CrossWord Books	230.00	116	79.25	1.5257	5	95%	0	0	0
ScribbleGraffito	207.50	29	56.75	1.3765	4.5	91%	0	0	0
Browsers' Lounge	243.00	122	92.25	1.6119	4.5	96%	0	0	0
Amazing BookS	200.00	106	49.25	1.3267	3	54%	0	0	0
A to Z Book House	250.00	1,275	99.25	1.6584	3	46%	0	0	0
Booksmandi	250.00	2,531	99.25	1.6584	4.5	89%	0	0	0
Sri Ganesha Books	359.00	382	208.25	2.3814	4	82%	0	0	0
famous_Books	470.00	4	319.25	3.1177	4.5	75%	0	0	0
S B T books	231.00	113	80.25	1.5323	4.5	88%	0	0	0
CrossWord Books	230.00	116	79.25	1.5257	5	95%	0	0	0
BOOKKR	499.00	5	348.25	3.3101	3.5	60%	0	0	0
BookInc	465.00	17	314.25	3.0846	4.5	94%	0	0	0
W S Retaill	231.00	34	80.25	1.5323	3.5	69%	0	0	0
SN Square	549.00	59	398.25	3.6418	4	75%	0	0	0
B2A UK	866.00	6,928	715.25	5.7446	4.5	83%	0	0	0
