Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Books-a-zillion	430.00	89	0.0	1.0	4	82%	0	0	0
City Books Online	430.00	88	0.0	1.0	4.5	93%	0	0	1
BooksJunction	430.00	1	0.0	1.0	5	100%	0	0	0
