Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
uRead-Store	533.00	25,136	75.0	1.1638	4.5	92%	1	0	1
Amazing_Buy	533.00	17,787	75.0	1.1638	4.5	95%	1	0	0
Goodread Bookstore	539.00	579	81.0	1.1769	5	97%	1	0	0
Bookflow	539.10	3,100	81.1	1.1771	3.5	67%	0	0	0
Comma365	505.00	2,242	47.0	1.1026	4.5	95%	0	0	0
HERITAGE PUBLISHERS	569.00	783	111.0	1.2424	4.5	94%	0	0	0
Skycart	500.00	479	42.0	1.0917	4.5	90%	0	0	0
Sunrise Book store	458.00	1,358	0.0	1.0	3.5	61%	0	0	0
Books-a-zillion	539.10	89	81.1	1.1771	4	82%	0	0	0
SansRack	599.00	1,050	141.0	1.3079	4.5	94%	0	0	0
Bookflow	539.10	3,100	81.1	1.1771	3.5	67%	0	0	0
A to Z Book House	599.00	1,275	141.0	1.3079	3	46%	0	0	0
